Applicant Name,Funding Band,Amount,Year,Period,Type
English Touring Theatre Ltd,2,679794,2015,2015-2018,Fund
Entelechy Arts Ltd,1,80348,2015,2015-2018,Fund
Essex Cultural Diversity Project,1,0,2015,2015-2018,Fund
Ex Cathedra Ltd,1,57681,2015,2015-2018,Fund
Exeter City Council,2,1031958,2015,2015-2018,Fund
Exeter Northcott Theatre,1,125000,2015,2015-2018,Fund
Exeter Phoenix,1,125725,2015,2015-2018,Fund
Extant,1,119000,2015,2015-2018,Fund
Eye Music Trust,1,102205,2015,2015-2018,Fund
Fabrica,1,177575,2015,2015-2018,Fund
FACT,3,1005909,2015,2015-2018,Fund
Farnham Maltings Association,2,785780,2015,2015-2018,Fund
Fevered Sleep,1,201160,2015,2015-2018,Fund
FIERCE! Festival,1,130611,2015,2015-2018,Fund
Film and Video Umbrella,2,379321,2015,2015-2018,Fund
Film London,2,321904,2015,2015-2018,Fund
Firstsite Ltd,2,814527,2015,2015-2018,Fund
Flatpack Projects,1,0,2015,2015-2018,Fund
Focal Point Gallery,1,186384,2015,2015-2018,Fund
Forced Entertainment Ltd,1,255393,2015,2015-2018,Fund
Forma Arts and Media Limited,2,259677,2015,2015-2018,Fund
Forward Arts Foundation,1,47914,2015,2015-2018,Fund
Foundation for Community Dance t/a People Dancing,1,190095,2015,2015-2018,Fund
Frantic Theatre Company Ltd,1,221189,2015,2015-2018,Fund
Free Word,1,239567,2015,2015-2018,Fund
Freedom Festival Arts Trust,1,166666,2015,2015-2018,Fund
Freedom Studios,1,140949,2015,2015-2018,Fund
Friction Arts,1,0,2015,2015-2018,Fund
Fuel Productions,1,201160,2015,2015-2018,Fund
Furtherfield.org,1,78388,2015,2015-2018,Fund
Future Everything CIC,1,81452,2015,2015-2018,Fund
Gecko Theatre,1,220401,2015,2015-2018,Fund
Gem Arts,1,120000,2015,2015-2018,Fund
Generator North East,1,156050,2015,2015-2018,Fund
Global Grooves,1,0,2015,2015-2018,Fund
Gloucestershire Everyman Theatre Ltd,2,377546,2015,2015-2018,Fund
Glyndebourne Productions Ltd,3,1629054,2015,2015-2018,Fund
Goole Town Council,1,68995,2015,2015-2018,Fund
Graeae Theatre Company Ltd,2,564399,2015,2015-2018,Fund
Grand Union,1,0,2015,2015-2018,Fund
Great Georges Community Cultural Project Ltd,1,110000,2015,2015-2018,Fund
Greater Manchester Arts Centre Ltd,3,1297513,2015,2015-2018,Fund
Greenwich+Docklands Festivals,1,251449,2015,2015-2018,Fund
Grimm & Co,1,0,2015,2015-2018,Fund
Grizedale Arts,1,197693,2015,2015-2018,Fund
Grundy Art Gallery,1,43122,2015,2015-2018,Fund
Gulbenkian Theatre,2,220000,2015,2015-2018,Fund
hÅb,1,70405,2015,2015-2018,Fund
Hackney Empire Ltd,2,368514,2015,2015-2018,Fund
Half Moon Young People's Theatre,1,217451,2015,2015-2018,Fund
Halle Concerts Society,3,2083674,2015,2015-2018,Fund
Hampstead Theatre Ltd,2,874607,2015,2015-2018,Fund
Harrogate Theatre,1,140909,2015,2015-2018,Fund
Havering Theatre Trust,2,277032,2015,2015-2018,Fund
Headlong Theatre Ltd,2,679794,2015,2015-2018,Fund
Heads Together Productions Limited,1,46605,2015,2015-2018,Fund
Heart n Soul,2,259395,2015,2015-2018,Fund
Heart of Glass,2,0,2015,2015-2018,Fund
Helix Arts Ltd,1,108341,2015,2015-2018,Fund
Higher Rhythm Ltd,1,54000,2015,2015-2018,Fund
Highlights Productions,1,119800,2015,2015-2018,Fund
HighTide Festival Productions LTD,1,191654,2015,2015-2018,Fund
Hofesh Shechter Company,2,383307,2015,2015-2018,Fund
Home Live Art,1,75434,2015,2015-2018,Fund
Homotopia Limited,1,80000,2015,2015-2018,Fund
Hoot Creative Arts,1,40165,2015,2015-2018,Fund
Horniman Museum and Gardens,2,946678,2015,2015-2018,Fund
Hounslow Arts Trust Ltd,1,100579,2015,2015-2018,Fund
Huddersfield Contemporary Music Festival,1,241627,2015,2015-2018,Fund
Hull City Council,2,841409,2015,2015-2018,Fund
