Applicant Name,Funding Band,Amount,Year,Period,Type
Jazz re:freshed,1,130795,2018,2018-2022,Grant
Jerwood Gallery,1,100000,2018,2018-2022,Grant
Jewish Museum London,1,220000,2018,2018-2022,Grant
J-Night,1,68749,2018,2018-2022,Grant
John Hansard Gallery,2,601511,2018,2018-2022,Grant
Junction Arts Limited,1,100580,2018,2018-2022,Grant
Junction CDC Ltd,2,637418,2018,2018-2022,Grant
Kala Sangam - The Academy of South Asian Performing Arts,1,100000,2018,2018-2022,Grant
Kaleider Limited,1,110000,2018,2018-2022,Grant
Kali Theatre Co.,1,196500,2018,2018-2022,Grant
KARST,1,140000,2018,2018-2022,Grant
Kendal Brewery Arts Centre,2,321854,2018,2018-2022,Grant
Kettle's Yard,2,290757,2018,2018-2022,Grant
Kids in Museums,SSO,160000,2018,2018-2022,Grant
Kinetika Bloco,1,80000,2018,2018-2022,Grant
Kinetika People,1,123850,2018,2018-2022,Grant
Kirklees Theatre Trust,1,148531,2018,2018-2022,Grant
Kneehigh Theatre Trust,2,450000,2018,2018-2022,Grant
Knowle West Media Centre,1,90522,2018,2018-2022,Grant
Koestler Trust,1,75000,2018,2018-2022,Grant
Lakes Arts Festivals Ltd,1,234000,2018,2018-2022,Grant
Lancaster Arts at Lancaster University,1,103053,2018,2018-2022,Grant
Lapworth Museum of Geology,1,104746,2018,2018-2022,Grant
Ledbury Poetry Festival,1,53066,2018,2018-2022,Grant
Leeds Museums and Galleries,3,1590000,2018,2018-2022,Grant
Leeds Theatre Trust Limited,3,1508104,2018,2018-2022,Grant
Leicester Arts Centre Limited,1,80464,2018,2018-2022,Grant
Leicester City Council,2,400000,2018,2018-2022,Grant
Leicester Dance Theatre Limited,2,365000,2018,2018-2022,Grant
Leicester Print Workshop,1,70290,2018,2018-2022,Grant
Leicester Theatre Trust Ltd,3,1914029,2018,2018-2022,Grant
Leicestershire County Council,SSO,298179,2018,2018-2022,Grant
Level Centre Ltd,1,138800,2018,2018-2022,Grant
Libraries Unlimited South West,1,171959,2018,2018-2022,Grant
Lighthouse Arts and Training Ltd,1,114992,2018,2018-2022,Grant
Lincoln Arts Trust Limited,1,247194,2018,2018-2022,Grant
Lincolnshire County Council,1,71411,2018,2018-2022,Grant
Literature Works,1,96556,2018,2018-2022,Grant
Littleworld Ltd t/a Horse and Bamboo Theatre,1,123632,2018,2018-2022,Grant
Live & Local Ltd,2,291464,2018,2018-2022,Grant
Live Art Development Agency,1,235846,2018,2018-2022,Grant
Live Theatre Winchester Trust,1,134158,2018,2018-2022,Grant
Liverpool & Merseyside Theatres Trust Ltd,3,1649977,2018,2018-2022,Grant
Liverpool Arab Arts Festival,1,110000,2018,2018-2022,Grant
Liverpool Biennial of Contemporary Art Ltd,2,788355,2018,2018-2022,Grant
Liverpool City Council Culture Liverpool,2,250000,2018,2018-2022,Grant
London Arts in Health Forum,1,65662,2018,2018-2022,Grant
London Borough of Barking and Dagenham,1,180000,2018,2018-2022,Grant
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,60000,2018,2018-2022,Grant
London International Festival of Theatre,2,452608,2018,2018-2022,Grant
London International Mime Festival,1,201160,2018,2018-2022,Grant
London Philharmonic Orchestra,3,2042222,2018,2018-2022,Grant
London Print Studio Ltd,1,110890,2018,2018-2022,Grant
London Symphony Orchestra,3,2206050,2018,2018-2022,Grant
London Transport Museum,1,249000,2018,2018-2022,Grant
Loud In Libraries CIC,1,113490,2018,2018-2022,Grant
Ludus Dance,1,95644,2018,2018-2022,Grant
Luton Carnival Arts Development Trust,1,150000,2018,2018-2022,Grant
Luton Cultural Services Trust,1,249000,2018,2018-2022,Grant
LUX,1,202122,2018,2018-2022,Grant
M6 THEATRE COMPANY LIMITED,1,199320,2018,2018-2022,Grant
Magna Vitae,1,150000,2018,2018-2022,Grant
Mahogany Community Ventures Limited,1,154992,2018,2018-2022,Grant
Manchester Camerata Limited,1,156620,2018,2018-2022,Grant
Manchester City Galleries,SSO,320150,2018,2018-2022,Grant
Manchester City Galleries,3,1597659,2018,2018-2022,Grant
Manchester Craft And Design,1,80000,2018,2018-2022,Grant
Manchester Jazz Festival,1,150522,2018,2018-2022,Grant
Manchester Jewish Museum,1,110000,2018,2018-2022,Grant
Manchester Literature Festival,1,76661,2018,2018-2022,Grant
Manchester Young People's Theatre trading as Contact,2,916435,2018,2018-2022,Grant
Mandinga Arts,1,55319,2018,2018-2022,Grant
Matt's Gallery Ltd,1,153385,2018,2018-2022,Grant
MAYK Theatre CIC,1,90000,2018,2018-2022,Grant
Meadow Arts,1,160928,2018,2018-2022,Grant
Mercury Musical Developments,SSO,124467,2018,2018-2022,Grant
Metal Culture Ltd,2,565378,2018,2018-2022,Grant
Metro-Boulot-Dodo Limited,1,140000,2018,2018-2022,Grant
MeWe Foundation,SSO,195000,2018,2018-2022,Grant
Middle Child,1,150000,2018,2018-2022,Grant
Middlesbrough Town Hall,1,249000,2018,2018-2022,Grant
Midlands Arts Centre,2,739146,2018,2018-2022,Grant
MIF,3,8914000,2018,2018-2022,Grant
Mikron Theatre Company,1,47800,2018,2018-2022,Grant
Milap Festival Trust,2,362908,2018,2018-2022,Grant
Milton Keynes Arts Centre LTD,1,98000,2018,2018-2022,Grant
Mimbre,1,125773,2018,2018-2022,Grant
Mind the Gap,1,246390,2018,2018-2022,Grant
Miracle Theatre Trust Ltd,1,95000,2018,2018-2022,Grant
MK Gallery,2,383307,2018,2018-2022,Grant
Modern Art Oxford,2,892347,2018,2018-2022,Grant
Modern Masterpieces,1,200153,2018,2018-2022,Grant
Modern Poetry in Translation,1,50000,2018,2018-2022,Grant
More Music,1,105609,2018,2018-2022,Grant
Motionhouse,2,468806,2018,2018-2022,Grant
Multistory,1,140812,2018,2018-2022,Grant
Museum of East Anglian Life,1,147504,2018,2018-2022,Grant
Museum of English Rural Life and Reading Museum Partnership,1,249999,2018,2018-2022,Grant
Museum of London,SSO,244820,2018,2018-2022,Grant
Museum of London,3,1100000,2018,2018-2022,Grant
Music for Youth,1,171840,2018,2018-2022,Grant
Music in the Round,1,142963,2018,2018-2022,Grant
Musiko Musika,1,107914,2018,2018-2022,Grant
Mytime Active,1,81957,2018,2018-2022,Grant
National Association for Gallery Education (engage),SSO,229806,2018,2018-2022,Grant
National Centre for Circus Arts,2,341867,2018,2018-2022,Grant
National Criminal Justice Arts Alliance,SSO,65000,2018,2018-2022,Grant
National Horseracing Museum,1,220000,2018,2018-2022,Grant
National Justice Museum,1,240000,2018,2018-2022,Grant
National Opera Studio,1,168221,2018,2018-2022,Grant
National Rural Touring Forum,1,86583,2018,2018-2022,Grant
National Student Drama Festival,1,56543,2018,2018-2022,Grant
National Theatre,3,16700000,2018,2018-2022,Grant
National Youth Choirs of Great Britain,1,55297,2018,2018-2022,Grant
National Youth Jazz Collective,1,64439,2018,2018-2022,Grant
National Youth Jazz Orchestra,1,125000,2018,2018-2022,Grant
National Youth Orchestra of Great Britain,1,129198,2018,2018-2022,Grant
National Youth Theatre of Great Britain,2,305769,2018,2018-2022,Grant
New Art Exchange Ltd,2,852898,2018,2018-2022,Grant
New Contemporaries (1988) Ltd,1,117789,2018,2018-2022,Grant
New International Encounter,1,153323,2018,2018-2022,Grant
New Perspectives Theatre Company,2,302745,2018,2018-2022,Grant
New Wolsey Theatre Company Ltd,2,936104,2018,2018-2022,Grant
New Writing North,2,332123,2018,2018-2022,Grant
New Writing South,1,124192,2018,2018-2022,Grant
Newhampton Arts Centre,1,180000,2018,2018-2022,Grant
Newlyn Art Gallery Ltd,2,361761,2018,2018-2022,Grant
Nine Arches Press,1,62500,2018,2018-2022,Grant
NMC Recordings Ltd.,1,40000,2018,2018-2022,Grant
NN Contemporary Art,1,60000,2018,2018-2022,Grant
no.w.here arts limited,1,55419,2018,2018-2022,Grant
NoFit State Community Circus Ltd,1,201160,2018,2018-2022,Grant
Norfolk and Norwich Festival Trust,SSO,500000,2018,2018-2022,Grant
Norfolk and Norwich Festival Trust,2,814527,2018,2018-2022,Grant
Norfolk Museums Service,SSO,436282,2018,2018-2022,Grant
Norfolk Museums Service,3,1203170,2018,2018-2022,Grant
North East Theatre Trust Ltd,2,626723,2018,2018-2022,Grant
North Kesteven District Council,1,201160,2018,2018-2022,Grant
North Lincolnshire Council 20-21 Visual Arts Centre,1,74745,2018,2018-2022,Grant
North Music Trust,3,3512122,2018,2018-2022,Grant
Northampton Theatres Trust,2,846666,2018,2018-2022,Grant
Northern Ballet Limited,3,3112000,2018,2018-2022,Grant
Northern Broadsides Theatre Company,2,255287,2018,2018-2022,Grant
Northern Print,1,106648,2018,2018-2022,Grant
Northern School of Contemporary Dance,1,150000,2018,2018-2022,Grant
Northern Stage (Theatrical Productions) Ltd,3,1562496,2018,2018-2022,Grant
Norwich Arts Centre,1,182071,2018,2018-2022,Grant
Nottingham City Museums and Galleries,2,466197,2018,2018-2022,Grant
Nottingham Contemporary,3,1005796,2018,2018-2022,Grant
Nottingham Media Centre Ltd,1,100580,2018,2018-2022,Grant
Nottingham Playhouse,3,1354807,2018,2018-2022,Grant
November Club,1,100678,2018,2018-2022,Grant
NTS Live,1,69226,2018,2018-2022,Grant
Nutkhut,1,100924,2018,2018-2022,Grant
Ockham's Razor,1,181044,2018,2018-2022,Grant
Octopus Collective Ltd.,1,70232,2018,2018-2022,Grant
Oily Cart,2,286576,2018,2018-2022,Grant
Oldham Coliseum Theatre,2,604067,2018,2018-2022,Grant
One Dance UK,SSO,750000,2018,2018-2022,Grant
Open Clasp Theatre Company,1,177043,2018,2018-2022,Grant
Open Eye gallery,1,242301,2018,2018-2022,Grant
Open School East,1,90000,2018,2018-2022,Grant
Open Theatre Company,1,150000,2018,2018-2022,Grant
OpenUp Music,1,160000,2018,2018-2022,Grant
Opera North Limited,3,10386000,2018,2018-2022,Grant
Orchestra of the Age of Enlightenment,1,203904,2018,2018-2022,Grant
Orchestras Live,2,479134,2018,2018-2022,Grant
OTO Projects CIC,1,74933,2018,2018-2022,Grant
Otolith Collective Ltd,1,50290,2018,2018-2022,Grant
Out of Joint,2,426352,2018,2018-2022,Grant
Outside In,1,100000,2018,2018-2022,Grant
Oxford Contemporary Music,1,185783,2018,2018-2022,Grant
Oxford Playhouse Trust,2,379474,2018,2018-2022,Grant
Pagoda Arts,1,44864,2018,2018-2022,Grant
Paines Plough,2,315620,2018,2018-2022,Grant
Palace Theatre Watford Limited,2,790571,2018,2018-2022,Grant
Pallant House Gallery,1,89119,2018,2018-2022,Grant
Paraiso School of Samba,1,60348,2018,2018-2022,Grant
Paraorchestra and Friends,1,249000,2018,2018-2022,Grant
Pavilion Dance South West Ltd,2,386216,2018,2018-2022,Grant
Peckham Platform Ltd,1,75000,2018,2018-2022,Grant
Peepal Tree Press,1,150500,2018,2018-2022,Grant
Peer UK,1,85590,2018,2018-2022,Grant
Pegasus Theatre Trust,2,299973,2018,2018-2022,Grant
Penned in the Margins,1,45000,2018,2018-2022,Grant
Pentabus Arts Ltd,1,187332,2018,2018-2022,Grant
People Express,1,54313,2018,2018-2022,Grant
People United,1,125000,2018,2018-2022,Grant
People's History Museum,2,322000,2018,2018-2022,Grant
People's Palace Projects,1,132145,2018,2018-2022,Grant
Perfect Pitch Musicals Ltd,1,107092,2018,2018-2022,Grant
Performances Birmingham Limited,1,80464,2018,2018-2022,Grant
Peshkar,1,75794,2018,2018-2022,Grant
Philharmonia Limited,3,2042222,2018,2018-2022,Grant
Phoenix Dance Theatre,2,428510,2018,2018-2022,Grant
Photofusion,1,142895,2018,2018-2022,Grant
Photoworks,2,268315,2018,2018-2022,Grant
Pilot Theatre Ltd,2,329720,2018,2018-2022,Grant
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,1105506,2018,2018-2022,Grant
Plymouth Culture,SSO,133000,2018,2018-2022,Grant
Plymouth Music Zone Ltd,1,130000,2018,2018-2022,Grant
Pocklington Arts Centre,1,69500,2018,2018-2022,Grant
PoemsOnTheUnderground,1,52705,2018,2018-2022,Grant
Poet in the City,1,67079,2018,2018-2022,Grant
Poetry London,1,47913,2018,2018-2022,Grant
Poetry Translation Centre Ltd,1,124575,2018,2018-2022,Grant
Polish Expats Association cic,1,97000,2018,2018-2022,Grant
Polka Theatre,2,570219,2018,2018-2022,Grant
Poole Arts Trust Ltd,2,342213,2018,2018-2022,Grant
Pop Up Projects CIC,1,85203,2018,2018-2022,Grant
PopUp Initiative CIC (The NewBridge Project),1,70000,2018,2018-2022,Grant
Portsmouth New Theatre Royal,1,249950,2018,2018-2022,Grant
Prema Arts Centre,1,69258,2018,2018-2022,Grant
Preston City Council,1,225000,2018,2018-2022,Grant
Primary,1,65000,2018,2018-2022,Grant
Prime Theatre,1,87937,2018,2018-2022,Grant
Prism Arts,1,50613,2018,2018-2022,Grant
Project Art Works,1,149676,2018,2018-2022,Grant
Project Phakama UK,1,83101,2018,2018-2022,Grant
Project Space Leeds,2,250000,2018,2018-2022,Grant
Protein Dance Ltd,1,238762,2018,2018-2022,Grant
Proteus Theatre Company,1,68600,2018,2018-2022,Grant
Psappha Limited,1,82000,2018,2018-2022,Grant
PUNCH RECORDS,2,251449,2018,2018-2022,Grant
Punchdrunk,1,226304,2018,2018-2022,Grant
Quarantine,1,160928,2018,2018-2022,Grant
Queen's Hall Arts,1,118147,2018,2018-2022,Grant
Rambert,3,2237000,2018,2018-2022,Grant
Raw Material Music and Media Education,1,117234,2018,2018-2022,Grant
Re:Bourne,3,1294000,2018,2018-2022,Grant
Readipop,1,90000,2018,2018-2022,Grant
Real Ideas Organisation CIC,SSO,875680,2018,2018-2022,Grant
Real Ideas Organisation CIC,1,150000,2018,2018-2022,Grant
Red Earth Theatre Limited,1,100580,2018,2018-2022,Grant
Red Ladder Theatre Company,1,165000,2018,2018-2022,Grant
Redbridge Drama Centre,1,65000,2018,2018-2022,Grant
Redeye (North West Photography Network) Ltd,SSO,87921,2018,2018-2022,Grant
Resonance,1,160277,2018,2018-2022,Grant
Rich Mix Cultural Foundation,2,301738,2018,2018-2022,Grant
Rifco Arts,2,325404,2018,2018-2022,Grant
Ripon Museum Trust,1,140000,2018,2018-2022,Grant
RJC Dance,1,75224,2018,2018-2022,Grant
Rosehill Arts Trust,1,62287,2018,2018-2022,Grant
Roses Theatre Trust,1,85493,2018,2018-2022,Grant
Rosetta Art Centre,1,45000,2018,2018-2022,Grant
Rosie Kay Dance Company,1,150000,2018,2018-2022,Grant
Rotherham Open Arts Renaissance (ROAR),1,70439,2018,2018-2022,Grant
Royal Court Liverpool Trust,1,225000,2018,2018-2022,Grant
Royal Exchange Theatre Company Ltd,3,2332000,2018,2018-2022,Grant
Royal Liverpool Philharmonic,3,2231646,2018,2018-2022,Grant
Royal Opera House,3,24028840,2018,2018-2022,Grant
Royal Opera House,SSO,726841,2018,2018-2022,Grant
Royal Philharmonic Orchestra Ltd,2,946394,2018,2018-2022,Grant
Royal Shakespeare Company,3,14984000,2018,2018-2022,Grant
RTYDS Ltd,SSO,185000,2018,2018-2022,Grant
Rural Arts North Yorkshire,1,75509,2018,2018-2022,Grant
Rural Media Charity,1,246500,2018,2018-2022,Grant
Russell Maliphant Company,1,249000,2018,2018-2022,Grant
Sadler's Wells,3,2456153,2018,2018-2022,Grant
Salisbury Arts Theatre Ltd,3,1277944,2018,2018-2022,Grant
Sampad (South Asian Arts Development),1,243906,2018,2018-2022,Grant
Scarborough Theatre Trust Ltd,2,637715,2018,2018-2022,Grant
Serendipity,1,210000,2018,2018-2022,Grant
Serious Events Limited,2,452778,2018,2018-2022,Grant
Serpentine Galleries,3,1193725,2018,2018-2022,Grant
"Seven Stories, The National Centre for Children's Books",2,577602,2018,2018-2022,Grant
Shademakers UK Carnival Club,1,50290,2018,2018-2022,Grant
Shakespeare Birthplace Trust,1,220000,2018,2018-2022,Grant
Shape London,2,286551,2018,2018-2022,Grant
Sheffield Doc/Fest,1,140750,2018,2018-2022,Grant
Sheffield Galleries & Museums Trust,2,800000,2018,2018-2022,Grant
Sheffield Theatres Trust Ltd,3,1279865,2018,2018-2022,Grant
Shobana Jeyasingh Dance Company,2,258732,2018,2018-2022,Grant
Shubbak: A Window on Contemporary Arab Culture,1,85000,2018,2018-2022,Grant
SICK! Productions,1,249500,2018,2018-2022,Grant
Sinfonietta Productions Limited,2,499565,2018,2018-2022,Grant
Siobhan Davies Dance,2,582018,2018,2018-2022,Grant
Site Gallery,2,314107,2018,2018-2022,Grant
Slung Low Limited,1,185141,2018,2018-2022,Grant
Small Green Shoots,1,120000,2018,2018-2022,Grant
Snape Maltings,3,1403019,2018,2018-2022,Grant
Society Of Chief Librarians,SSO,500000,2018,2018-2022,Grant
Soft Touch Arts Ltd,1,88510,2018,2018-2022,Grant
Soho Theatre Company,2,603478,2018,2018-2022,Grant
Somerset Art Works,1,90000,2018,2018-2022,Grant
Somerset Film and Video Ltd,1,87453,2018,2018-2022,Grant
Sonia Sabri Company,1,125034,2018,2018-2022,Grant
Sound UK Arts,1,100580,2018,2018-2022,Grant
SoundCity,1,200000,2018,2018-2022,Grant
South Asian Arts-uk,1,181000,2018,2018-2022,Grant
South East Dance Ltd,2,570169,2018,2018-2022,Grant
South East Museum Development Programme,SSO,511612,2018,2018-2022,Grant
South London Gallery,2,811415,2018,2018-2022,Grant
South West Museum Development,SSO,530444,2018,2018-2022,Grant
Southampton City Council,1,100000,2018,2018-2022,Grant
Southbank Centre,3,18360000,2018,2018-2022,Grant
Spare Tyre Theatre Company Ltd,1,150870,2018,2018-2022,Grant
Spike Island Artspace Ltd,2,280000,2018,2018-2022,Grant
Spitalfields Festival Ltd.,1,70000,2018,2018-2022,Grant
Spread the Word,1,197397,2018,2018-2022,Grant
Square Chapel Trust,1,156051,2018,2018-2022,Grant
ss Great Britain Trust,1,210000,2018,2018-2022,Grant
St Helens Council Library Service,1,110000,2018,2018-2022,Grant
St Pauls Carnival (Bristol) CIC,1,150000,2018,2018-2022,Grant
Stagetext,SSO,268773,2018,2018-2022,Grant
Stanley Picker Gallery,1,80000,2018,2018-2022,Grant
Stan's Cafe,1,156865,2018,2018-2022,Grant
Stockton Arts Centre Ltd,2,306091,2018,2018-2022,Grant
Stockton Borough Council Tees Valley Museum Group,2,375000,2018,2018-2022,Grant
Stockton International Riverside Festival,2,301356,2018,2018-2022,Grant
Stoke on Trent & North Staffordshire Theatre Trust,2,932401,2018,2018-2022,Grant
Stopgap Dance Company,2,276654,2018,2018-2022,Grant
Stratford Circus,2,301738,2018,2018-2022,Grant
Streetwise Opera,1,100580,2018,2018-2022,Grant
Strike A Light,1,85000,2018,2018-2022,Grant
Stroud Valleys Artspace,1,68947,2018,2018-2022,Grant
Studio 3 Arts,1,117993,2018,2018-2022,Grant
Studio Voltaire,1,67079,2018,2018-2022,Grant
Studio Wayne McGregor,2,515212,2018,2018-2022,Grant
Suffolk Libraries,1,176000,2018,2018-2022,Grant
Sunderland Culture,2,500000,2018,2018-2022,Grant
Sunshine International Arts,1,75000,2018,2018-2022,Grant
Swindon Dance,1,206200,2018,2018-2022,Grant
Take A Part CIC,1,50000,2018,2018-2022,Grant
Take Art Limited,1,160425,2018,2018-2022,Grant
Talawa Theatre Company Ltd,2,440305,2018,2018-2022,Grant
Talking Birds Theatre Company Limited,1,101748,2018,2018-2022,Grant
Tamasha Theatre Company,2,314465,2018,2018-2022,Grant
Tangle Ltd,1,101000,2018,2018-2022,Grant
Tangled Feet,1,192945,2018,2018-2022,Grant
Tara Arts,1,207194,2018,2018-2022,Grant
Tavaziva Dance,1,188505,2018,2018-2022,Grant
Teesside University,2,510757,2018,2018-2022,Grant
Tete a Tete,1,100580,2018,2018-2022,Grant
Thackray Medical Museum,1,221885,2018,2018-2022,Grant
Thames Festival Trust,1,150000,2018,2018-2022,Grant
the Albany,1,176015,2018,2018-2022,Grant
the Albany,SSO,130000,2018,2018-2022,Grant
The Alternative Theatre Company Ltd.,2,595281,2018,2018-2022,Grant
The Anvil Trust Ltd,1,138949,2018,2018-2022,Grant
The Artangel Trust,2,852333,2018,2018-2022,Grant
The Arts Depot Trust Ltd,2,301738,2018,2018-2022,Grant
The Ashton Group Theatre,1,80494,2018,2018-2022,Grant
The Audience Agency,SSO,750000,2018,2018-2022,Grant
The Bike Shed Theatre,1,75000,2018,2018-2022,Grant
The Bluecoat,2,486887,2018,2018-2022,Grant
The Bowes Museum,2,367807,2018,2018-2022,Grant
The Bronte Society,1,232500,2018,2018-2022,Grant
The Children's Bookshow,1,67079,2018,2018-2022,Grant
The Courtyard Trust,1,212861,2018,2018-2022,Grant
The Creative Art House,1,247087,2018,2018-2022,Grant
The Customs House,1,100678,2018,2018-2022,Grant
The DanceXchange Limited,2,760126,2018,2018-2022,Grant
The Devon Guild of Craftsmen,1,155557,2018,2018-2022,Grant
The Dukes Playhouse Ltd,2,256190,2018,2018-2022,Grant
The Forge,1,57496,2018,2018-2022,Grant
The Gate Theatre Company Ltd,2,306330,2018,2018-2022,Grant
The Geffrye Museum,1,240000,2018,2018-2022,Grant
The Hall For Cornwall Trust,2,376282,2018,2018-2022,Grant
The Hepworth Wakefield Trust,2,906101,2018,2018-2022,Grant
The Lawnmowers Independent Theatre Company,1,60998,2018,2018-2022,Grant
The Literary Consultancy,1,73985,2018,2018-2022,Grant
The Lowry Centre Trust,2,860000,2018,2018-2022,Grant
The Lyric Theatre Hammersmith Limited,3,1100000,2018,2018-2022,Grant
The Maltings Berwick Trust Limited,1,176387,2018,2018-2022,Grant
The Met,1,100580,2018,2018-2022,Grant
The Midi Music Company,1,117234,2018,2018-2022,Grant
The Mighty Creatives,SSO,862477,2018,2018-2022,Grant
The Ministry of Stories,1,89113,2018,2018-2022,Grant
The National Holocaust Centre and Museum,2,300000,2018,2018-2022,Grant
The National Youth Brass Band of Great Britain,1,61054,2018,2018-2022,Grant
The New Carnival Company CIC,1,76661,2018,2018-2022,Grant
The Octagon Theatre Trust,2,614060,2018,2018-2022,Grant
The Organisation for New Music and Sound,2,704659,2018,2018-2022,Grant
The Photographers' Gallery,2,902265,2018,2018-2022,Grant
The Poetry Archive,1,106614,2018,2018-2022,Grant
The Poetry School,1,140409,2018,2018-2022,Grant
The Poetry Society,2,354559,2018,2018-2022,Grant
The Point,1,125000,2018,2018-2022,Grant
The Pound Arts Trust Ltd,1,75435,2018,2018-2022,Grant
The Reader,1,175000,2018,2018-2022,Grant
The Reading Agency,2,475394,2018,2018-2022,Grant
The Robert Pacitti Company Ltd,2,266708,2018,2018-2022,Grant
The Roundhouse Trust,2,974713,2018,2018-2022,Grant
The Seachange Trust,2,390000,2018,2018-2022,Grant
The Showroom,1,127894,2018,2018-2022,Grant
The Southampton Nuffield Theatre Trust,2,974349,2018,2018-2022,Grant
The Spark Arts for Children,1,172866,2018,2018-2022,Grant
The Spring Arts & Heritage Centre,1,120000,2018,2018-2022,Grant
The Story Museum,1,175000,2018,2018-2022,Grant
The Tank Museum,1,120000,2018,2018-2022,Grant
The Theatre Orchard,1,90000,2018,2018-2022,Grant
The Wigmore Hall Trust,2,337987,2018,2018-2022,Grant
The Writing Squad,1,97743,2018,2018-2022,Grant
The Yard Theatre Ltd.,1,150000,2018,2018-2022,Grant
The York Early Music Foundation,2,270467,2018,2018-2022,Grant
Theatre Alibi,1,241597,2018,2018-2022,Grant
Theatre Bristol Ltd,1,106985,2018,2018-2022,Grant
Theatre Centre,1,240000,2018,2018-2022,Grant
Theatre de Complicite Education Ltd,2,363622,2018,2018-2022,Grant
Theatre Hullabaloo,2,250318,2018,2018-2022,Grant
Theatre in the Mill,1,120171,2018,2018-2022,Grant
Theatre Peckham,1,142924,2018,2018-2022,Grant
Theatre Royal (Plymouth) Ltd,3,1185500,2018,2018-2022,Grant
Theatre-Rites,1,240389,2018,2018-2022,Grant
Third Angel,1,120000,2018,2018-2022,Grant
Threshold Studios,1,80464,2018,2018-2022,Grant
Tiata Fahodzi Ltd,1,210000,2018,2018-2022,Grant
TIN Arts,1,81453,2018,2018-2022,Grant
Tobacco Factory Theatres,1,60348,2018,2018-2022,Grant
Together! 2012 CIC,1,60000,2018,2018-2022,Grant
Told by an Idiot,1,168214,2018,2018-2022,Grant
Tom Dale Company,1,157600,2018,2018-2022,Grant
Tomorrow's Warriors Ltd,1,208744,2018,2018-2022,Grant
Towner Art Gallery,2,359350,2018,2018-2022,Grant
Travaux Sauvages Ltd t/a Wildworks,1,206189,2018,2018-2022,Grant
Travelling Light Theatre Company,1,202000,2018,2018-2022,Grant
Triangle Arts Trust,2,284866,2018,2018-2022,Grant
Tricycle Theatre,2,829519,2018,2018-2022,Grant
Tullie House Museum and Art Gallery,3,1165861,2018,2018-2022,Grant
Turner Contemporary,2,669473,2018,2018-2022,Grant
"Turner Sims, Southampton",1,43122,2018,2018-2022,Grant
tutti frutti productions,1,178703,2018,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,156936,2018,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,500000,2018,2018-2022,Grant
Tyne & Wear Archives & Museums,3,3136929,2018,2018-2022,Grant
Tyneside Cinema,1,124275,2018,2018-2022,Grant
UK Young Artists,1,150000,2018,2018-2022,Grant
Unfolding Theatre,1,105000,2018,2018-2022,Grant
Unicorn Theatre (Caryl Jenner Productions),3,1303884,2018,2018-2022,Grant
Unity Theatre,2,272000,2018,2018-2022,Grant
University of Cambridge Museums,3,1212754,2018,2018-2022,Grant
University of Derby Theatre limited,2,795000,2018,2018-2022,Grant
"University of Leicester, Attenborough Arts Centre",1,207000,2018,2018-2022,Grant
University of Oxford,3,1316938,2018,2018-2022,Grant
University of the Arts London – Afterall,1,70641,2018,2018-2022,Grant
University of the Arts London (trading as Artquest),SSO,125054,2018,2018-2022,Grant
University of Warwick,2,492114,2018,2018-2022,Grant
Unlimited Theatre,1,166119,2018,2018-2022,Grant
UP Projects,1,100580,2018,2018-2022,Grant
Upswing Aerial Limited,1,115667,2018,2018-2022,Grant
Urban Development Ltd,1,150870,2018,2018-2022,Grant
Vamos Theatre Company,1,200000,2018,2018-2022,Grant
Vane Contemporary Art Limited,1,60406,2018,2018-2022,Grant
Venture Arts,1,105000,2018,2018-2022,Grant
Vincent Dance Theatre,1,249999,2018,2018-2022,Grant
Vital Xposure,1,100580,2018,2018-2022,Grant
Viva Chamber Orchestra Ltd,1,192107,2018,2018-2022,Grant
Vivid Projects,1,74500,2018,2018-2022,Grant
VocalEyes,SSO,223811,2018,2018-2022,Grant
Voluntary Arts Network,SSO,165827,2018,2018-2022,Grant
Wakefield Council – Museums,1,205000,2018,2018-2022,Grant
Walk The Plank,1,145657,2018,2018-2022,Grant
Walsall Council,2,881487,2018,2018-2022,Grant
Wasafiri Ltd,1,59413,2018,2018-2022,Grant
Watermill Theatre,2,450386,2018,2018-2022,Grant
Watershed Arts Trust Ltd,2,744289,2018,2018-2022,Grant
Waterside Artists Co-operative Limited,1,67079,2018,2018-2022,Grant
Watts Gallery Trust,1,100000,2018,2018-2022,Grant
Wavendon Allmusic Plan Ltd,2,379223,2018,2018-2022,Grant
Welsh National Opera,3,6123000,2018,2018-2022,Grant
West Yorkshire Print Workshop,1,54366,2018,2018-2022,Grant
Whitechapel Gallery,3,1510168,2018,2018-2022,Grant
Whitstable Biennale,1,240000,2018,2018-2022,Grant
Wiltshire Music Centre Trust Ltd,1,101675,2018,2018-2022,Grant
Wired Aerial Theatre Ltd,1,165000,2018,2018-2022,Grant
Wise Children,2,475000,2018,2018-2022,Grant
Without Walls,3,1200000,2018,2018-2022,Grant
Wolverhampton City Council,1,167755,2018,2018-2022,Grant
Woodhorn Charitable Trust,1,200000,2018,2018-2022,Grant
Workplace Foundation,1,105409,2018,2018-2022,Grant
World Heart Beat Music Academy,1,85000,2018,2018-2022,Grant
