Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
British Underground Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
British Youth Opera,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Britten Sinfonia,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Brownswood Music Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
b-side Multimedia Festival CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bucks County Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Bureau of Silly Ideas,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Burnley Youth Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Burton Art Gallery and Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Buxton Arts Festival Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Camden Arts Centre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Camden People's Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Candoco Dance Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
CapeUK,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Capsule Events Ltd,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Carcanet Press Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cardboard Citizens,1,LOT,National Lottery,Band 1,True,False,False,False,False
Carnival Village Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Carousel Project,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cast,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Castlefield Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cause4,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Centre for Chinese Contemporary Art,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Chapel Arts Studios,1,LOT,National Lottery,Band 1,False,False,False,False,False
Charnwood Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Chatham Historic Dockyard Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Cheek by Jowl,1,LOT,National Lottery,Band 1,True,False,False,False,False
Cheltenham Festivals,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cheshire Dance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cheshire West and Chester Council,1,LOT,National Lottery,Band 1,True,False,False,False,False
Chester Performing Arts Centre Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Chichester Festival Theatre,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Children's Discovery Centre East London,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
China Plate,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Chinese Arts Space,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Chisenhale Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Chris Goode and Company,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Christ Church Oxford United Clubs Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Chrysalis Arts Development Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cinderford Artspace,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
City Arts Nottingham,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
City of Birmingham Symphony orchestra,3,LOT,National Lottery,Band 3,True,False,False,False,False
Clean Break Theatre Company Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Clod Ensemble,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Cohesion Plus Kent,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Colchester Arts Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Colchester Borough Council,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Colchester Mercury Theatre Ltd.,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Collar and TIE Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Collections Trust,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Collective Encounters,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Comma Press,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Common Wealth,1,LOT,National Lottery,Band 1,False,False,False,False,False
Commonword Enterprises Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Community and Cultural Services,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Community Arts North West,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Community Music Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Company Chameleon,1,LOT,National Lottery,Band 1,True,False,False,False,False
Compton Verney House Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Coney Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Contemporary Art Society,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Contemporary Dance Trust,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Continental Drifts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Corali,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Corby Cube Theatre Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
