Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Tamasha Theatre Company,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Tangle Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tangled Feet,1,LOT,National Lottery,Band 1,False,False,False,False,False
Tara Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tavaziva Dance,1,LOT,National Lottery,Band 1,True,False,False,False,False
Teesside University,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Tete a Tete,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Thackray Medical Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Thames Festival Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
the Albany,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
the Albany,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
The Alternative Theatre Company Ltd.,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Anvil Trust Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Artangel Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Arts Depot Trust Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Ashton Group Theatre,1,LOT,National Lottery,Band 1,True,False,False,False,False
The Audience Agency,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
The Bike Shed Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Bluecoat,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Bowes Museum,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
The Bronte Society,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Children's Bookshow,1,LOT,National Lottery,Band 1,True,False,False,False,False
The Courtyard Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Creative Art House,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Customs House,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The DanceXchange Limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Devon Guild of Craftsmen,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Dukes Playhouse Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Forge,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Gate Theatre Company Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Geffrye Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Hall For Cornwall Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Hepworth Wakefield Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Lawnmowers Independent Theatre Company,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Literary Consultancy,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Lowry Centre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Lyric Theatre Hammersmith Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
The Maltings Berwick Trust Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Met,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Midi Music Company,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Mighty Creatives,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
The Ministry of Stories,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The National Holocaust Centre and Museum,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
The National Youth Brass Band of Great Britain,1,GIA,Grant in Aid,Band 1,True,False,False,True,False
The New Carnival Company CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Octagon Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Organisation for New Music and Sound,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Photographers' Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Poetry Archive,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Poetry School,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Poetry Society,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Point,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Pound Arts Trust Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Reader,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Reading Agency,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Robert Pacitti Company Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Roundhouse Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Seachange Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Showroom,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Southampton Nuffield Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Spark Arts for Children,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Spring Arts & Heritage Centre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Story Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Tank Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Theatre Orchard,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The Wigmore Hall Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
The Writing Squad,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
The Yard Theatre Ltd.,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
The York Early Music Foundation,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Theatre Alibi,1,LOT,National Lottery,Band 1,True,False,False,False,False
Theatre Bristol Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Theatre Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Theatre de Complicite Education Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Theatre Hullabaloo,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Theatre in the Mill,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Theatre Peckham,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Theatre Royal (Plymouth) Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Theatre-Rites,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Third Angel,1,LOT,National Lottery,Band 1,True,False,False,False,False
Threshold Studios,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tiata Fahodzi Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
TIN Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tobacco Factory Theatres,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Together! 2012 CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Told by an Idiot,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tom Dale Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Tomorrow's Warriors Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Towner Art Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Travaux Sauvages Ltd t/a Wildworks,1,LOT,National Lottery,Band 1,True,False,False,False,False
Travelling Light Theatre Company,1,LOT,National Lottery,Band 1,True,False,False,False,False
Triangle Arts Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Tricycle Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Tullie House Museum and Art Gallery,3,GIA,Grant in Aid,Band 3,True,False,True,False,False
Turner Contemporary,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
"Turner Sims, Southampton",1,GIA,Grant in Aid,Band 1,True,False,False,False,False
tutti frutti productions,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Tyne & Wear Archives & Museums,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Tyne & Wear Archives & Museums,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Tyne & Wear Archives & Museums,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Tyneside Cinema,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
UK Young Artists,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Unfolding Theatre,1,LOT,National Lottery,Band 1,False,False,False,False,False
Unicorn Theatre (Caryl Jenner Productions),3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Unity Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
University of Cambridge Museums,3,GIA,Grant in Aid,Band 3,True,False,False,True,False
University of Derby Theatre limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
"University of Leicester, Attenborough Arts Centre",1,GIA,Grant in Aid,Band 1,True,False,False,False,False
University of Oxford,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
University of the Arts London – Afterall,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
University of the Arts London (trading as Artquest),SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
University of Warwick,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Unlimited Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
UP Projects,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Upswing Aerial Limited,1,LOT,National Lottery,Band 1,True,False,False,False,False
Urban Development Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Vamos Theatre Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Vane Contemporary Art Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Venture Arts,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Vincent Dance Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Vital Xposure,1,LOT,National Lottery,Band 1,True,False,False,False,False
Viva Chamber Orchestra Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Vivid Projects,1,LOT,National Lottery,Band 1,False,False,False,False,False
VocalEyes,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Voluntary Arts Network,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Wakefield Council – Museums,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Walk The Plank,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Walsall Council,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Wasafiri Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Watermill Theatre,2,LOT,National Lottery,Band 2,True,False,False,False,False
Watershed Arts Trust Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Waterside Artists Co-operative Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Watts Gallery Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Wavendon Allmusic Plan Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Welsh National Opera,3,LOT,National Lottery,Band 3,True,False,False,False,False
West Yorkshire Print Workshop,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Whitechapel Gallery,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Whitstable Biennale,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Wiltshire Music Centre Trust Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Wired Aerial Theatre Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Wise Children,2,LOT,National Lottery,Band 2,False,False,False,False,False
Without Walls,3,LOT,National Lottery,Band 3,False,False,False,False,False
Wolverhampton City Council,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Woodhorn Charitable Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Workplace Foundation,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
World Heart Beat Music Academy,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Writers' Centre Norwich,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Writing East Midlands,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Writing on the Wall,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Writing West Midlands,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Wysing Arts Centre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Yaram Arts CIC,1,LOT,National Lottery,Band 1,True,False,False,False,False
Yellow Earth Theatre Company,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
York Citizen's Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
York Museums Trust,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
York Museums Trust,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Yorkshire Artspace Society Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Yorkshire Dance Centre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Yorkshire Sculpture Park,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Young Vic Company,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Youth Music Theatre UK,1,LOT,National Lottery,Band 1,True,False,False,True,False
Z-arts,2,LOT,National Lottery,Band 2,False,False,False,False,False
ZENDEH Productions,1,LOT,National Lottery,Band 1,True,False,False,False,False
ZoieLogic Dance Theatre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
ZooNation Ltd,1,LOT,National Lottery,Band 1,False,False,False,False,False
