Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
curious directive,1,,http://www.curiousdirective.com,Norwich,South East,East,East of England,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Curious Minds,SSO,,http://www.curiousminds.org.uk,Preston,North,North West,North West,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
DaDaFest,1,DaDa - Disability and Deaf Arts,http://www.dadafest.co.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Daily Life Ltd,1,,http://dailylifeltd.co.uk/,Newham,London,London,London,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Dance City,2,Dance North Ltd,http://www.dancecity.co.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Dance Consortium,2,,http://www.danceconsortium.com,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Dance Umbrella,2,,http://www.danceumbrella.co.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Dance United Yorkshire,1,,http://www.duy.org.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Dance4,2,,http://www.dance4.co.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
DanceEast,2,,http://www.danceeast.co.uk,Ipswich,South East,East,East of England,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Dancefest,1,,http://www.dancefest.co.uk,Worcester,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Darbar Arts Culture Heritage Trust,1,,http://www.darbar.org,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
darts (Doncaster Community Arts),1,,http://www.thepoint.org.uk,Doncaster,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Dash Arts Ltd,1,,http://www.dasharts.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
De La Warr Pavilion,2,,http://www.dlwp.com,Rother,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Deafinitely Theatre,1,,http://www.deafinitelytheatre.co.uk,Camden,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Déda,2,,http://www.deda.uk.com,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Dedalus Limited,1,,http://www.dedalusbooks.com,Barking and Dagenham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Derby Museums,2,,http://derbymuseums.org,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Museums,True,False,False,True,False
Derby QUAD Ltd,2,,http://www.derbyquad.co.uk,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Design Museum,1,,http://designmuseum.org,Kensington and Chelsea,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Disability Arts in Shropshire,1,,http://www.dasharts.org,Shropshire,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Disability Arts Online,1,DAO (DisabilityArtsOnline) Ltd ,http://www.disabilityarts.online,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Not discipline specific,False,False,False,False,False
Diverse City,2,,http://www.diversecity.org.uk,Purbeck,South West,South West,South West,LOT,National Lottery,Band 2,Combined arts,False,False,False,False,False
Doncaster Heritage Services,1,Doncaster MBC,http://www.doncaster.gov.uk/museums,Doncaster,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Museums,False,False,False,False,False
Donmar Warehouse Projects Ltd,2,,http://www.donmarwarehouse.com/,Westminster,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Doorstep Arts,1,,http://www.doorsteparts.co.uk,Torbay,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Drake Music,1,,http://www.drakemusic.org,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Drawing Room,1,"Drawing Room, Tannery Arts Ltd.",http://www.drawingroom.org.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
dreamthinkspeak,1,,http://www.dreamthinkspeak.com/,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Duckie,1,,http://www.duckie.co.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Durham County Council,2,,http://www.durham.gov.uk,County Durham,North,North East,North East,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
East London Dance,1,,http://www.eastlondondance.org,Newham,London,London,London,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
East Midlands Jazz CIC,1,,http://emjazz.co.uk,Derbyshire Dales,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
East Street Arts,1,,http://eaststreetarts.org.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,True,False
East Street Arts,SSO,,http://eaststreetarts.org.uk,Leeds,National,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Sector Support Organisation,Visual arts,False,False,False,False,False
Eastern Angles Theatre Company Ltd,1,,http://www.easternangles.co.uk,Ipswich,South East,East,East of England,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Eastside Educational Trust,1,,http://www.eastside.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Eclipse Theatre Company Ltd,1,,http://www.eclipsetheatre.org.uk,Sheffield,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Eden Arts,1,,http://www.edenarts.co.uk,Eden,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
emccan CIC,1,,http://www.emccan.org,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Emergency Exit Arts,1,,http://www.eea.org.uk,Greenwich,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
English Folk Dance and Song Society,2,,http://www.efdss.org,Camden,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
English Folk Expo,SSO,,http://www.englishfolkexpo.com,Swale,National,South East,South East,GIA,Grant in Aid,Sector Support Organisation,Music,False,False,False,False,False
English National Ballet,3,,http://www.ballet.org.uk,Westminster,London,London,London,LOT,National Lottery,Band 3,Dance,True,False,False,False,False
English National Opera,3,,https://www.eno.org/,Westminster,London,London,London,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
English PEN,1,,http://www.englishpen.org,Islington,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
English Stage Company Limited,3,,http://www.royalcourttheatre.com,Kensington and Chelsea,London,London,London,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
English Touring Opera Ltd,3,,http://www.englishtouringopera.org.uk,Islington,London,London,London,LOT,National Lottery,Band 3,Music,True,False,False,False,False
English Touring Theatre Ltd,2,,http://www.ett.org.uk,Southwark,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Entelechy Arts Ltd,1,,http://www.entelechyarts.org,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Essex Cultural Diversity Project,1,,http://www.essexcdp.com,Chelmsford,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Ex Cathedra Ltd,1,,http://www.excathedra.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Exeter City Council,2,,http://www.rammuseum.org.uk,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 2,Museums,True,False,True,True,False
Exeter Northcott Theatre,1,,https://exeternorthcott.co.uk/,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Exeter Phoenix,1,,http://www.exeterphoenix.org.uk,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Extant,1,,http://www.extant.org.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Eye Music Trust,1,,http://www.eyemusic.org.uk/,Croydon,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Fabrica,1,,http://www.fabrica.org.uk,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
FACT,3,FOUNDATION FOR ART & CREATIVE TECHNOLOGY,http://www.fact.co.uk/,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 3,Visual arts,True,False,False,False,False
Farnham Maltings Association,2,,http://www.farnhammaltings.com,Waverley,South East,South East,South East,LOT,National Lottery,Band 2,Combined arts,True,False,False,False,False
Fevered Sleep,1,,http://www.feveredsleep.co.uk/,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
FIERCE! Festival,1,Fierce! (Festival) Limited,http://wearefierce.org,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Film and Video Umbrella,2,,http://fvu.co.uk,Southwark,London,London,London,LOT,National Lottery,Band 2,Visual arts,True,False,False,False,False
Film London,2,,http://flamin.filmlondon.org.uk/,Islington,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Firstsite Ltd,2,,http://www.firstsite.uk.net,Colchester,South East,East,East of England,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Flatpack Projects,1,,http://www.flatpackfestival.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Focal Point Gallery,1,,http://www.fpg.org.uk,Southend-on-Sea,South East,East,East of England,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Forced Entertainment Ltd,1,,http://www.forcedentertainment.com,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Forma Arts and Media Limited,2,,http://www.forma.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Forward Arts Foundation,1,,http://www.forwardartsfoundation.org,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Foundation for Community Dance t/a People Dancing,1,,http://www.communitydance.org.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Frantic Theatre Company Ltd,1,,http://www.franticassembly.co.uk,Camden,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Free Word,1,,http://www.freewordcentre.com,Islington,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Freedom Festival Arts Trust,1,,http://www.freedomfestival.co.uk,"Kingston upon Hull, City of",North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Freedom Studios,1,,http://www.freedomstudios.co.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Friction Arts,1,,http://www.frictionarts.com,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Fuel Productions,1,,http://www.fueltheatre.com,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Furtherfield.org,1,,http://www.furtherfield.org,Haringey,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Future Everything CIC,1,,http://futureeverything.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Gecko Theatre,1,,http://geckotheatre.com/,Ipswich,South East,East,East of England,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Gem Arts,1,GemArts,http://www.gemarts.org,Gateshead,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Generator North East,1,,http://www.generator.org.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Global Grooves,1,,http://www.globalgrooves.org,Tameside,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Gloucestershire Everyman Theatre Ltd,2,,http://everymantheatre.org.uk,Cheltenham,South West,South West,South West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Glyndebourne Productions Ltd,3,,http://www.glyndebourne.com,Lewes,South East,South East,South East,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Goole Town Council,1,,http://www.junctiongoole.co.uk,East Riding of Yorkshire,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Graeae Theatre Company Ltd,2,,http://www.graeae.org,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Grand Union,1,Grand Union Studios Ltd,http://www.grand-union.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Great Georges Community Cultural Project Ltd,1,THE BLACK-E,http://www.theblack-e.co.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Greater Manchester Arts Centre Ltd,3,,http://HOMEMCR.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 3,Combined arts,True,False,False,False,False
Greenwich+Docklands Festivals,1,,http://www.festival.org,Greenwich,London,London,London,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Grimm & Co,1,,http://www.grimmandco.co.uk,Rotherham,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Literature,False,False,False,False,False
Grizedale Arts,1,,http://www.grizedale.org/,South Lakeland,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Grundy Art Gallery,1,Blackpool Council,http://www.grundyartgallery.com,Blackpool,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Gulbenkian Theatre,2,University of Kent,http://www.thegulbenkian.co.uk,Canterbury,South East,South East,South East,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
hÅb,1,Habarts Limited trading as hÅb,http://habarts.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Hackney Empire Ltd,2,,http://www.hackneyempire.co.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Half Moon Young People's Theatre,1,,http://www.halfmoon.org.uk,Tower Hamlets,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Halle Concerts Society,3,,http://www.halle.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Hampstead Theatre Ltd,2,,http://hampsteadtheatre.com,Camden,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Harrogate Theatre,1,Harrogate (White Rose) Theatre Trust Ltd.,http://www.harrogatetheatre.co.uk,Harrogate,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Havering Theatre Trust,2,,http://www.queens-theatre.co.uk,Havering,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Headlong Theatre Ltd,2,,https://headlong.co.uk/,Southwark,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Heads Together Productions Limited,1,,http://www.chapelfm.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Heart n Soul,2,,http://www.heartnsoul.co.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Heart of Glass,2,Heart of Glass St Helens Limited ,http://www.heartofglass.org.uk,St. Helens,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,False,False,False,False,False
Helix Arts Ltd,1,,http://www.helixarts.com,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Higher Rhythm Ltd,1,,http://www.higherrhythm.co.uk,Doncaster,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Highlights Productions,1,,http://www.highlightsnorth.co.uk,Eden,North,North West,North West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
HighTide Festival Productions LTD,1,,http://www.hightide.org.uk,Suffolk Coastal,South East,East,East of England,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Hofesh Shechter Company,2,,http://www.hofesh.co.uk,Brighton and Hove,South East,South East,South East,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Home Live Art,1,,http://www.homeliveart.com,Hastings,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Homotopia Limited,1,,http://www.homotopia.net,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Hoot Creative Arts,1,,http://www.hootcreativearts.co.uk,Kirklees,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Horniman Museum and Gardens,2,The Horniman Public Museum and Public Park Trust,http://www.horniman.ac.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Hounslow Arts Trust Ltd,1,,http://www.watermans.org.uk,Hounslow,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Huddersfield Contemporary Music Festival,1,,http://www.hcmf.co.uk,Kirklees,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Hull City Council,2,,http://www.hull.gov.uk,"Kingston upon Hull, City of",North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Hull Truck Theatre,2,Hull Truck Theatre Company Limited,http://www.hulltruck.co.uk,"Kingston upon Hull, City of",North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Ikon Gallery,3,,http://www.ikon-gallery.org,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 3,Visual arts,True,False,False,False,False
Ilkley Literature Festival Ltd,1,,http://www.ilkleyliteraturefestival.org.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
ILUVLIVE,1,,http://www.iluvlive.co.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
imitating the dog,1,,http://www.imitatingthedog.co.uk,Harrogate,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
