Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Impressions Gallery of Photography Limited,1,,http://www.impressions-gallery.com,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Improbable,1,,http://www.improbable.co.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
In Between Time,1,,http://inbetweentime.co.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Index on Censorship,SSO,Writers and Scholars International Limited,http://indexoncensorship.org,Westminster,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Literature,True,False,False,False,False
Inner City Music Ltd,1,,http://bandonthewall.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Inpress Ltd,SSO,,http://www.inpressbooks.co.uk,Newcastle upon Tyne,National,North East,North East,GIA,Grant in Aid,Sector Support Organisation,Literature,True,False,False,False,False
In-Situ,1,In-Situ-In-Place,http://www.in-situ.org.uk,Pendle,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Institute of Contemporary Arts,2,Institute of Contemporary Arts Ltd,http://www.ica.org.uk,Westminster,London,London,London,LOT,National Lottery,Band 2,Visual arts,True,False,False,False,False
Institute of Fundraising,SSO,,http://www.institute-of-fundraising.org.uk/home/,Westminster,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Institute of International Visual Arts,1,,http://www.iniva.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
International Curators Forum,1,,http://internationalcuratorsforum.org,Wandsworth,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Interplay Theatre Trust,1,,http://www.interplaytheatre.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Intoart,1,Intoart Projects,http://www.intoart.org.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Invisible Dust,1,,http://www.invisibledust.com,Scarborough,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Invisible Flock Co,1,,http://invisibleflock.com,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
IOU Ltd,1,,http://www.ioutheatre.org,Calderdale,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Ironbridge Gorge Museum Trust,2,,http://www.ironbridge.org.uk,Telford and Wrekin,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Ironbridge Gorge Museum Trust,SSO,,http://www.ironbridge.org.uk,Telford and Wrekin,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,True,False,True
