Applicant Name,Funding Band,Year,Amount,Period,Type
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,2018,60000,2018-2022,Grant
London International Festival of Theatre,2,2018,452608,2018-2022,Grant
London International Mime Festival,1,2018,201160,2018-2022,Grant
London Philharmonic Orchestra,3,2018,2042222,2018-2022,Grant
London Print Studio Ltd,1,2018,110890,2018-2022,Grant
London Symphony Orchestra,3,2018,2206050,2018-2022,Grant
London Transport Museum,1,2018,249000,2018-2022,Grant
Loud In Libraries CIC,1,2018,113490,2018-2022,Grant
Ludus Dance,1,2018,95644,2018-2022,Grant
Luton Carnival Arts Development Trust,1,2018,150000,2018-2022,Grant
Luton Cultural Services Trust,1,2018,249000,2018-2022,Grant
LUX,1,2018,202122,2018-2022,Grant
M6 THEATRE COMPANY LIMITED,1,2018,199320,2018-2022,Grant
Magna Vitae,1,2018,150000,2018-2022,Grant
Mahogany Community Ventures Limited,1,2018,154992,2018-2022,Grant
Manchester Camerata Limited,1,2018,156620,2018-2022,Grant
Manchester City Galleries,SSO,2018,320150,2018-2022,Grant
Manchester City Galleries,3,2018,1597659,2018-2022,Grant
Manchester Craft And Design,1,2018,80000,2018-2022,Grant
Manchester Jazz Festival,1,2018,150522,2018-2022,Grant
Manchester Jewish Museum,1,2018,110000,2018-2022,Grant
Manchester Literature Festival,1,2018,76661,2018-2022,Grant
Manchester Young People's Theatre trading as Contact,2,2018,916435,2018-2022,Grant
Mandinga Arts,1,2018,55319,2018-2022,Grant
Matt's Gallery Ltd,1,2018,153385,2018-2022,Grant
MAYK Theatre CIC,1,2018,90000,2018-2022,Grant
Meadow Arts,1,2018,160928,2018-2022,Grant
Mercury Musical Developments,SSO,2018,124467,2018-2022,Grant
Metal Culture Ltd,2,2018,565378,2018-2022,Grant
Metro-Boulot-Dodo Limited,1,2018,140000,2018-2022,Grant
MeWe Foundation,SSO,2018,195000,2018-2022,Grant
Middle Child,1,2018,150000,2018-2022,Grant
Middlesbrough Town Hall,1,2018,249000,2018-2022,Grant
Midlands Arts Centre,2,2018,739146,2018-2022,Grant
MIF,3,2018,8914000,2018-2022,Grant
Mikron Theatre Company,1,2018,47800,2018-2022,Grant
Milap Festival Trust,2,2018,362908,2018-2022,Grant
Milton Keynes Arts Centre LTD,1,2018,98000,2018-2022,Grant
Mimbre,1,2018,125773,2018-2022,Grant
Mind the Gap,1,2018,246390,2018-2022,Grant
Miracle Theatre Trust Ltd,1,2018,95000,2018-2022,Grant
MK Gallery,2,2018,383307,2018-2022,Grant
Modern Art Oxford,2,2018,892347,2018-2022,Grant
Modern Masterpieces,1,2018,200153,2018-2022,Grant
Modern Poetry in Translation,1,2018,50000,2018-2022,Grant
More Music,1,2018,105609,2018-2022,Grant
Motionhouse,2,2018,468806,2018-2022,Grant
Multistory,1,2018,140812,2018-2022,Grant
Museum of East Anglian Life,1,2018,147504,2018-2022,Grant
Museum of English Rural Life and Reading Museum Partnership,1,2018,249999,2018-2022,Grant
Museum of London,SSO,2018,244820,2018-2022,Grant
Museum of London,3,2018,1100000,2018-2022,Grant
Music for Youth,1,2018,171840,2018-2022,Grant
Music in the Round,1,2018,142963,2018-2022,Grant
Musiko Musika,1,2018,107914,2018-2022,Grant
Mytime Active,1,2018,81957,2018-2022,Grant
National Association for Gallery Education (engage),SSO,2018,229806,2018-2022,Grant
National Centre for Circus Arts,2,2018,341867,2018-2022,Grant
National Criminal Justice Arts Alliance,SSO,2018,65000,2018-2022,Grant
National Horseracing Museum,1,2018,220000,2018-2022,Grant
National Justice Museum,1,2018,240000,2018-2022,Grant
National Opera Studio,1,2018,168221,2018-2022,Grant
National Rural Touring Forum,1,2018,86583,2018-2022,Grant
National Student Drama Festival,1,2018,56543,2018-2022,Grant
National Theatre,3,2018,16700000,2018-2022,Grant
National Youth Choirs of Great Britain,1,2018,55297,2018-2022,Grant
National Youth Jazz Collective,1,2018,64439,2018-2022,Grant
National Youth Jazz Orchestra,1,2018,125000,2018-2022,Grant
National Youth Orchestra of Great Britain,1,2018,129198,2018-2022,Grant
National Youth Theatre of Great Britain,2,2018,305769,2018-2022,Grant
New Art Exchange Ltd,2,2018,852898,2018-2022,Grant
New Contemporaries (1988) Ltd,1,2018,117789,2018-2022,Grant
New International Encounter,1,2018,153323,2018-2022,Grant
New Perspectives Theatre Company,2,2018,302745,2018-2022,Grant
New Wolsey Theatre Company Ltd,2,2018,936104,2018-2022,Grant
New Writing North,2,2018,332123,2018-2022,Grant
New Writing South,1,2018,124192,2018-2022,Grant
Newhampton Arts Centre,1,2018,180000,2018-2022,Grant
Newlyn Art Gallery Ltd,2,2018,361761,2018-2022,Grant
Nine Arches Press,1,2018,62500,2018-2022,Grant
NMC Recordings Ltd.,1,2018,40000,2018-2022,Grant
NN Contemporary Art,1,2018,60000,2018-2022,Grant
no.w.here arts limited,1,2018,55419,2018-2022,Grant
NoFit State Community Circus Ltd,1,2018,201160,2018-2022,Grant
Norfolk and Norwich Festival Trust,SSO,2018,500000,2018-2022,Grant
Norfolk and Norwich Festival Trust,2,2018,814527,2018-2022,Grant
Norfolk Museums Service,SSO,2018,436282,2018-2022,Grant
Norfolk Museums Service,3,2018,1203170,2018-2022,Grant
North East Theatre Trust Ltd,2,2018,626723,2018-2022,Grant
North Kesteven District Council,1,2018,201160,2018-2022,Grant
North Lincolnshire Council 20-21 Visual Arts Centre,1,2018,74745,2018-2022,Grant
North Music Trust,3,2018,3512122,2018-2022,Grant
Northampton Theatres Trust,2,2018,846666,2018-2022,Grant
Northern Ballet Limited,3,2018,3112000,2018-2022,Grant
Northern Broadsides Theatre Company,2,2018,255287,2018-2022,Grant
Northern Print,1,2018,106648,2018-2022,Grant
Northern School of Contemporary Dance,1,2018,150000,2018-2022,Grant
Northern Stage (Theatrical Productions) Ltd,3,2018,1562496,2018-2022,Grant
Norwich Arts Centre,1,2018,182071,2018-2022,Grant
Nottingham City Museums and Galleries,2,2018,466197,2018-2022,Grant
Nottingham Contemporary,3,2018,1005796,2018-2022,Grant
Nottingham Media Centre Ltd,1,2018,100580,2018-2022,Grant
Nottingham Playhouse,3,2018,1354807,2018-2022,Grant
November Club,1,2018,100678,2018-2022,Grant
NTS Live,1,2018,69226,2018-2022,Grant
Nutkhut,1,2018,100924,2018-2022,Grant
Ockham's Razor,1,2018,181044,2018-2022,Grant
Octopus Collective Ltd.,1,2018,70232,2018-2022,Grant
Oily Cart,2,2018,286576,2018-2022,Grant
Oldham Coliseum Theatre,2,2018,604067,2018-2022,Grant
One Dance UK,SSO,2018,750000,2018-2022,Grant
Open Clasp Theatre Company,1,2018,177043,2018-2022,Grant
Open Eye gallery,1,2018,242301,2018-2022,Grant
Open School East,1,2018,90000,2018-2022,Grant
Open Theatre Company,1,2018,150000,2018-2022,Grant
OpenUp Music,1,2018,160000,2018-2022,Grant
Opera North Limited,3,2018,10386000,2018-2022,Grant
Orchestra of the Age of Enlightenment,1,2018,203904,2018-2022,Grant
Orchestras Live,2,2018,479134,2018-2022,Grant
OTO Projects CIC,1,2018,74933,2018-2022,Grant
Otolith Collective Ltd,1,2018,50290,2018-2022,Grant
Out of Joint,2,2018,426352,2018-2022,Grant
Outside In,1,2018,100000,2018-2022,Grant
Oxford Contemporary Music,1,2018,185783,2018-2022,Grant
Oxford Playhouse Trust,2,2018,379474,2018-2022,Grant
Pagoda Arts,1,2018,44864,2018-2022,Grant
Paines Plough,2,2018,315620,2018-2022,Grant
Palace Theatre Watford Limited,2,2018,790571,2018-2022,Grant
Pallant House Gallery,1,2018,89119,2018-2022,Grant
Paraiso School of Samba,1,2018,60348,2018-2022,Grant
Paraorchestra and Friends,1,2018,249000,2018-2022,Grant
Pavilion Dance South West Ltd,2,2018,386216,2018-2022,Grant
Peckham Platform Ltd,1,2018,75000,2018-2022,Grant
Peepal Tree Press,1,2018,150500,2018-2022,Grant
Peer UK,1,2018,85590,2018-2022,Grant
Pegasus Theatre Trust,2,2018,299973,2018-2022,Grant
Penned in the Margins,1,2018,45000,2018-2022,Grant
Pentabus Arts Ltd,1,2018,187332,2018-2022,Grant
People Express,1,2018,54313,2018-2022,Grant
People United,1,2018,125000,2018-2022,Grant
People's History Museum,2,2018,322000,2018-2022,Grant
People's Palace Projects,1,2018,132145,2018-2022,Grant
Perfect Pitch Musicals Ltd,1,2018,107092,2018-2022,Grant
Performances Birmingham Limited,1,2018,80464,2018-2022,Grant
Peshkar,1,2018,75794,2018-2022,Grant
Philharmonia Limited,3,2018,2042222,2018-2022,Grant
Phoenix Dance Theatre,2,2018,428510,2018-2022,Grant
Photofusion,1,2018,142895,2018-2022,Grant
Photoworks,2,2018,268315,2018-2022,Grant
Pilot Theatre Ltd,2,2018,329720,2018-2022,Grant
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,2018,1105506,2018-2022,Grant
Plymouth Culture,SSO,2018,133000,2018-2022,Grant
Plymouth Music Zone Ltd,1,2018,130000,2018-2022,Grant
Pocklington Arts Centre,1,2018,69500,2018-2022,Grant
PoemsOnTheUnderground,1,2018,52705,2018-2022,Grant
Poet in the City,1,2018,67079,2018-2022,Grant
Poetry London,1,2018,47913,2018-2022,Grant
Poetry Translation Centre Ltd,1,2018,124575,2018-2022,Grant
Polish Expats Association cic,1,2018,97000,2018-2022,Grant
Polka Theatre,2,2018,570219,2018-2022,Grant
Poole Arts Trust Ltd,2,2018,342213,2018-2022,Grant
Pop Up Projects CIC,1,2018,85203,2018-2022,Grant
PopUp Initiative CIC (The NewBridge Project),1,2018,70000,2018-2022,Grant
Portsmouth New Theatre Royal,1,2018,249950,2018-2022,Grant
Prema Arts Centre,1,2018,69258,2018-2022,Grant
Preston City Council,1,2018,225000,2018-2022,Grant
Primary,1,2018,65000,2018-2022,Grant
Prime Theatre,1,2018,87937,2018-2022,Grant
Prism Arts,1,2018,50613,2018-2022,Grant
Project Art Works,1,2018,149676,2018-2022,Grant
Project Phakama UK,1,2018,83101,2018-2022,Grant
Project Space Leeds,2,2018,250000,2018-2022,Grant
Protein Dance Ltd,1,2018,238762,2018-2022,Grant
Proteus Theatre Company,1,2018,68600,2018-2022,Grant
Psappha Limited,1,2018,82000,2018-2022,Grant
PUNCH RECORDS,2,2018,251449,2018-2022,Grant
Punchdrunk,1,2018,226304,2018-2022,Grant
Quarantine,1,2018,160928,2018-2022,Grant
Queen's Hall Arts,1,2018,118147,2018-2022,Grant
Rambert,3,2018,2237000,2018-2022,Grant
Raw Material Music and Media Education,1,2018,117234,2018-2022,Grant
Re:Bourne,3,2018,1294000,2018-2022,Grant
Readipop,1,2018,90000,2018-2022,Grant
Real Ideas Organisation CIC,SSO,2018,875680,2018-2022,Grant
Real Ideas Organisation CIC,1,2018,150000,2018-2022,Grant
Red Earth Theatre Limited,1,2018,100580,2018-2022,Grant
Red Ladder Theatre Company,1,2018,165000,2018-2022,Grant
Redbridge Drama Centre,1,2018,65000,2018-2022,Grant
Redeye (North West Photography Network) Ltd,SSO,2018,87921,2018-2022,Grant
Resonance,1,2018,160277,2018-2022,Grant
Rich Mix Cultural Foundation,2,2018,301738,2018-2022,Grant
Rifco Arts,2,2018,325404,2018-2022,Grant
Ripon Museum Trust,1,2018,140000,2018-2022,Grant
RJC Dance,1,2018,75224,2018-2022,Grant
Rosehill Arts Trust,1,2018,62287,2018-2022,Grant
Roses Theatre Trust,1,2018,85493,2018-2022,Grant
Rosetta Art Centre,1,2018,45000,2018-2022,Grant
Rosie Kay Dance Company,1,2018,150000,2018-2022,Grant
Rotherham Open Arts Renaissance (ROAR),1,2018,70439,2018-2022,Grant
Royal Court Liverpool Trust,1,2018,225000,2018-2022,Grant
Royal Exchange Theatre Company Ltd,3,2018,2332000,2018-2022,Grant
Royal Liverpool Philharmonic,3,2018,2231646,2018-2022,Grant
Royal Opera House,3,2018,24028840,2018-2022,Grant
Royal Opera House,SSO,2018,726841,2018-2022,Grant
Royal Philharmonic Orchestra Ltd,2,2018,946394,2018-2022,Grant
Royal Shakespeare Company,3,2018,14984000,2018-2022,Grant
RTYDS Ltd,SSO,2018,185000,2018-2022,Grant
Rural Arts North Yorkshire,1,2018,75509,2018-2022,Grant
Rural Media Charity,1,2018,246500,2018-2022,Grant
Russell Maliphant Company,1,2018,249000,2018-2022,Grant
Sadler's Wells,3,2018,2456153,2018-2022,Grant
Salisbury Arts Theatre Ltd,3,2018,1277944,2018-2022,Grant
Sampad (South Asian Arts Development),1,2018,243906,2018-2022,Grant
Scarborough Theatre Trust Ltd,2,2018,637715,2018-2022,Grant
Serendipity,1,2018,210000,2018-2022,Grant
Serious Events Limited,2,2018,452778,2018-2022,Grant
Serpentine Galleries,3,2018,1193725,2018-2022,Grant
"Seven Stories, The National Centre for Children's Books",2,2018,577602,2018-2022,Grant
Shademakers UK Carnival Club,1,2018,50290,2018-2022,Grant
Shakespeare Birthplace Trust,1,2018,220000,2018-2022,Grant
Shape London,2,2018,286551,2018-2022,Grant
Sheffield Doc/Fest,1,2018,140750,2018-2022,Grant
Sheffield Galleries & Museums Trust,2,2018,800000,2018-2022,Grant
Sheffield Theatres Trust Ltd,3,2018,1279865,2018-2022,Grant
Shobana Jeyasingh Dance Company,2,2018,258732,2018-2022,Grant
Shubbak: A Window on Contemporary Arab Culture,1,2018,85000,2018-2022,Grant
SICK! Productions,1,2018,249500,2018-2022,Grant
Sinfonietta Productions Limited,2,2018,499565,2018-2022,Grant
Siobhan Davies Dance,2,2018,582018,2018-2022,Grant
Site Gallery,2,2018,314107,2018-2022,Grant
Slung Low Limited,1,2018,185141,2018-2022,Grant
Small Green Shoots,1,2018,120000,2018-2022,Grant
Snape Maltings,3,2018,1403019,2018-2022,Grant
Society Of Chief Librarians,SSO,2018,500000,2018-2022,Grant
Soft Touch Arts Ltd,1,2018,88510,2018-2022,Grant
Soho Theatre Company,2,2018,603478,2018-2022,Grant
Somerset Art Works,1,2018,90000,2018-2022,Grant
Somerset Film and Video Ltd,1,2018,87453,2018-2022,Grant
Sonia Sabri Company,1,2018,125034,2018-2022,Grant
Sound UK Arts,1,2018,100580,2018-2022,Grant
SoundCity,1,2018,200000,2018-2022,Grant
South Asian Arts-uk,1,2018,181000,2018-2022,Grant
South East Dance Ltd,2,2018,570169,2018-2022,Grant
South East Museum Development Programme,SSO,2018,511612,2018-2022,Grant
South London Gallery,2,2018,811415,2018-2022,Grant
South West Museum Development,SSO,2018,530444,2018-2022,Grant
Southampton City Council,1,2018,100000,2018-2022,Grant
Southbank Centre,3,2018,18360000,2018-2022,Grant
Spare Tyre Theatre Company Ltd,1,2018,150870,2018-2022,Grant
Spike Island Artspace Ltd,2,2018,280000,2018-2022,Grant
Spitalfields Festival Ltd.,1,2018,70000,2018-2022,Grant
Spread the Word,1,2018,197397,2018-2022,Grant
Square Chapel Trust,1,2018,156051,2018-2022,Grant
ss Great Britain Trust,1,2018,210000,2018-2022,Grant
St Helens Council Library Service,1,2018,110000,2018-2022,Grant
St Pauls Carnival (Bristol) CIC,1,2018,150000,2018-2022,Grant
Stagetext,SSO,2018,268773,2018-2022,Grant
Stanley Picker Gallery,1,2018,80000,2018-2022,Grant
Stan's Cafe,1,2018,156865,2018-2022,Grant
Stockton Arts Centre Ltd,2,2018,306091,2018-2022,Grant
Stockton Borough Council Tees Valley Museum Group,2,2018,375000,2018-2022,Grant
Stockton International Riverside Festival,2,2018,301356,2018-2022,Grant
Stoke on Trent & North Staffordshire Theatre Trust,2,2018,932401,2018-2022,Grant
Stopgap Dance Company,2,2018,276654,2018-2022,Grant
Stratford Circus,2,2018,301738,2018-2022,Grant
Streetwise Opera,1,2018,100580,2018-2022,Grant
Strike A Light,1,2018,85000,2018-2022,Grant
Stroud Valleys Artspace,1,2018,68947,2018-2022,Grant
Studio 3 Arts,1,2018,117993,2018-2022,Grant
Studio Voltaire,1,2018,67079,2018-2022,Grant
Studio Wayne McGregor,2,2018,515212,2018-2022,Grant
Suffolk Libraries,1,2018,176000,2018-2022,Grant
Sunderland Culture,2,2018,500000,2018-2022,Grant
Sunshine International Arts,1,2018,75000,2018-2022,Grant
Swindon Dance,1,2018,206200,2018-2022,Grant
Take A Part CIC,1,2018,50000,2018-2022,Grant
Take Art Limited,1,2018,160425,2018-2022,Grant
Talawa Theatre Company Ltd,2,2018,440305,2018-2022,Grant
Talking Birds Theatre Company Limited,1,2018,101748,2018-2022,Grant
Tamasha Theatre Company,2,2018,314465,2018-2022,Grant
Tangle Ltd,1,2018,101000,2018-2022,Grant
Tangled Feet,1,2018,192945,2018-2022,Grant
Tara Arts,1,2018,207194,2018-2022,Grant
Tavaziva Dance,1,2018,188505,2018-2022,Grant
Teesside University,2,2018,510757,2018-2022,Grant
Tete a Tete,1,2018,100580,2018-2022,Grant
Thackray Medical Museum,1,2018,221885,2018-2022,Grant
Thames Festival Trust,1,2018,150000,2018-2022,Grant
the Albany,1,2018,176015,2018-2022,Grant
the Albany,SSO,2018,130000,2018-2022,Grant
The Alternative Theatre Company Ltd.,2,2018,595281,2018-2022,Grant
The Anvil Trust Ltd,1,2018,138949,2018-2022,Grant
The Artangel Trust,2,2018,852333,2018-2022,Grant
The Arts Depot Trust Ltd,2,2018,301738,2018-2022,Grant
The Ashton Group Theatre,1,2018,80494,2018-2022,Grant
The Audience Agency,SSO,2018,750000,2018-2022,Grant
The Bike Shed Theatre,1,2018,75000,2018-2022,Grant
The Bluecoat,2,2018,486887,2018-2022,Grant
The Bowes Museum,2,2018,367807,2018-2022,Grant
The Bronte Society,1,2018,232500,2018-2022,Grant
The Children's Bookshow,1,2018,67079,2018-2022,Grant
The Courtyard Trust,1,2018,212861,2018-2022,Grant
The Creative Art House,1,2018,247087,2018-2022,Grant
The Customs House,1,2018,100678,2018-2022,Grant
The DanceXchange Limited,2,2018,760126,2018-2022,Grant
The Devon Guild of Craftsmen,1,2018,155557,2018-2022,Grant
The Dukes Playhouse Ltd,2,2018,256190,2018-2022,Grant
The Forge,1,2018,57496,2018-2022,Grant
The Gate Theatre Company Ltd,2,2018,306330,2018-2022,Grant
The Geffrye Museum,1,2018,240000,2018-2022,Grant
The Hall For Cornwall Trust,2,2018,376282,2018-2022,Grant
The Hepworth Wakefield Trust,2,2018,906101,2018-2022,Grant
The Lawnmowers Independent Theatre Company,1,2018,60998,2018-2022,Grant
The Literary Consultancy,1,2018,73985,2018-2022,Grant
The Lowry Centre Trust,2,2018,860000,2018-2022,Grant
The Lyric Theatre Hammersmith Limited,3,2018,1100000,2018-2022,Grant
The Maltings Berwick Trust Limited,1,2018,176387,2018-2022,Grant
The Met,1,2018,100580,2018-2022,Grant
The Midi Music Company,1,2018,117234,2018-2022,Grant
The Mighty Creatives,SSO,2018,862477,2018-2022,Grant
The Ministry of Stories,1,2018,89113,2018-2022,Grant
The National Holocaust Centre and Museum,2,2018,300000,2018-2022,Grant
The National Youth Brass Band of Great Britain,1,2018,61054,2018-2022,Grant
The New Carnival Company CIC,1,2018,76661,2018-2022,Grant
The Octagon Theatre Trust,2,2018,614060,2018-2022,Grant
The Organisation for New Music and Sound,2,2018,704659,2018-2022,Grant
The Photographers' Gallery,2,2018,902265,2018-2022,Grant
The Poetry Archive,1,2018,106614,2018-2022,Grant
The Poetry School,1,2018,140409,2018-2022,Grant
The Poetry Society,2,2018,354559,2018-2022,Grant
The Point,1,2018,125000,2018-2022,Grant
The Pound Arts Trust Ltd,1,2018,75435,2018-2022,Grant
The Reader,1,2018,175000,2018-2022,Grant
The Reading Agency,2,2018,475394,2018-2022,Grant
The Robert Pacitti Company Ltd,2,2018,266708,2018-2022,Grant
The Roundhouse Trust,2,2018,974713,2018-2022,Grant
The Seachange Trust,2,2018,390000,2018-2022,Grant
The Showroom,1,2018,127894,2018-2022,Grant
The Southampton Nuffield Theatre Trust,2,2018,974349,2018-2022,Grant
The Spark Arts for Children,1,2018,172866,2018-2022,Grant
The Spring Arts & Heritage Centre,1,2018,120000,2018-2022,Grant
The Story Museum,1,2018,175000,2018-2022,Grant
The Tank Museum,1,2018,120000,2018-2022,Grant
The Theatre Orchard,1,2018,90000,2018-2022,Grant
The Wigmore Hall Trust,2,2018,337987,2018-2022,Grant
The Writing Squad,1,2018,97743,2018-2022,Grant
The Yard Theatre Ltd.,1,2018,150000,2018-2022,Grant
The York Early Music Foundation,2,2018,270467,2018-2022,Grant
Theatre Alibi,1,2018,241597,2018-2022,Grant
Theatre Bristol Ltd,1,2018,106985,2018-2022,Grant
Theatre Centre,1,2018,240000,2018-2022,Grant
Theatre de Complicite Education Ltd,2,2018,363622,2018-2022,Grant
Theatre Hullabaloo,2,2018,250318,2018-2022,Grant
Theatre in the Mill,1,2018,120171,2018-2022,Grant
Theatre Peckham,1,2018,142924,2018-2022,Grant
Theatre Royal (Plymouth) Ltd,3,2018,1185500,2018-2022,Grant
Theatre-Rites,1,2018,240389,2018-2022,Grant
Third Angel,1,2018,120000,2018-2022,Grant
Threshold Studios,1,2018,80464,2018-2022,Grant
Tiata Fahodzi Ltd,1,2018,210000,2018-2022,Grant
TIN Arts,1,2018,81453,2018-2022,Grant
Tobacco Factory Theatres,1,2018,60348,2018-2022,Grant
Together! 2012 CIC,1,2018,60000,2018-2022,Grant
Told by an Idiot,1,2018,168214,2018-2022,Grant
Tom Dale Company,1,2018,157600,2018-2022,Grant
Tomorrow's Warriors Ltd,1,2018,208744,2018-2022,Grant
Towner Art Gallery,2,2018,359350,2018-2022,Grant
Travaux Sauvages Ltd t/a Wildworks,1,2018,206189,2018-2022,Grant
Travelling Light Theatre Company,1,2018,202000,2018-2022,Grant
Triangle Arts Trust,2,2018,284866,2018-2022,Grant
Tricycle Theatre,2,2018,829519,2018-2022,Grant
Tullie House Museum and Art Gallery,3,2018,1165861,2018-2022,Grant
Turner Contemporary,2,2018,669473,2018-2022,Grant
"Turner Sims, Southampton",1,2018,43122,2018-2022,Grant
tutti frutti productions,1,2018,178703,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,2018,156936,2018-2022,Grant
Tyne & Wear Archives & Museums,SSO,2018,500000,2018-2022,Grant
Tyne & Wear Archives & Museums,3,2018,3136929,2018-2022,Grant
Tyneside Cinema,1,2018,124275,2018-2022,Grant
UK Young Artists,1,2018,150000,2018-2022,Grant
Unfolding Theatre,1,2018,105000,2018-2022,Grant
Unicorn Theatre (Caryl Jenner Productions),3,2018,1303884,2018-2022,Grant
Unity Theatre,2,2018,272000,2018-2022,Grant
University of Cambridge Museums,3,2018,1212754,2018-2022,Grant
University of Derby Theatre limited,2,2018,795000,2018-2022,Grant
"University of Leicester, Attenborough Arts Centre",1,2018,207000,2018-2022,Grant
University of Oxford,3,2018,1316938,2018-2022,Grant
University of the Arts London – Afterall,1,2018,70641,2018-2022,Grant
University of the Arts London (trading as Artquest),SSO,2018,125054,2018-2022,Grant
University of Warwick,2,2018,492114,2018-2022,Grant
Unlimited Theatre,1,2018,166119,2018-2022,Grant
UP Projects,1,2018,100580,2018-2022,Grant
Upswing Aerial Limited,1,2018,115667,2018-2022,Grant
Urban Development Ltd,1,2018,150870,2018-2022,Grant
Vamos Theatre Company,1,2018,200000,2018-2022,Grant
Vane Contemporary Art Limited,1,2018,60406,2018-2022,Grant
Venture Arts,1,2018,105000,2018-2022,Grant
Vincent Dance Theatre,1,2018,249999,2018-2022,Grant
Vital Xposure,1,2018,100580,2018-2022,Grant
Viva Chamber Orchestra Ltd,1,2018,192107,2018-2022,Grant
Vivid Projects,1,2018,74500,2018-2022,Grant
VocalEyes,SSO,2018,223811,2018-2022,Grant
Voluntary Arts Network,SSO,2018,165827,2018-2022,Grant
Wakefield Council – Museums,1,2018,205000,2018-2022,Grant
Walk The Plank,1,2018,145657,2018-2022,Grant
Walsall Council,2,2018,881487,2018-2022,Grant
Wasafiri Ltd,1,2018,59413,2018-2022,Grant
Watermill Theatre,2,2018,450386,2018-2022,Grant
Watershed Arts Trust Ltd,2,2018,744289,2018-2022,Grant
Waterside Artists Co-operative Limited,1,2018,67079,2018-2022,Grant
Watts Gallery Trust,1,2018,100000,2018-2022,Grant
Wavendon Allmusic Plan Ltd,2,2018,379223,2018-2022,Grant
Welsh National Opera,3,2018,6123000,2018-2022,Grant
West Yorkshire Print Workshop,1,2018,54366,2018-2022,Grant
Whitechapel Gallery,3,2018,1510168,2018-2022,Grant
Whitstable Biennale,1,2018,240000,2018-2022,Grant
Wiltshire Music Centre Trust Ltd,1,2018,101675,2018-2022,Grant
Wired Aerial Theatre Ltd,1,2018,165000,2018-2022,Grant
Wise Children,2,2018,475000,2018-2022,Grant
Without Walls,3,2018,1200000,2018-2022,Grant
Wolverhampton City Council,1,2018,167755,2018-2022,Grant
Woodhorn Charitable Trust,1,2018,200000,2018-2022,Grant
Workplace Foundation,1,2018,105409,2018-2022,Grant
World Heart Beat Music Academy,1,2018,85000,2018-2022,Grant
Writers' Centre Norwich,2,2018,498405,2018-2022,Grant
Writing East Midlands,1,2018,125725,2018-2022,Grant
Writing on the Wall,1,2018,76661,2018-2022,Grant
Writing West Midlands,1,2018,181044,2018-2022,Grant
Wysing Arts Centre,2,2018,456768,2018-2022,Grant
Yaram Arts CIC,1,2018,79900,2018-2022,Grant
Yellow Earth Theatre Company,1,2018,175000,2018-2022,Grant
York Citizen's Theatre Trust,2,2018,587254,2018-2022,Grant
York Museums Trust,SSO,2018,338982,2018-2022,Grant
York Museums Trust,3,2018,1230000,2018-2022,Grant
Yorkshire Artspace Society Ltd,1,2018,71870,2018-2022,Grant
Yorkshire Dance Centre Trust,2,2018,325794,2018-2022,Grant
Yorkshire Sculpture Park,3,2018,1312646,2018-2022,Grant
Young Vic Company,3,2018,1760143,2018-2022,Grant
Youth Music Theatre UK,1,2018,77519,2018-2022,Grant
Z-arts,2,2018,255000,2018-2022,Grant
ZENDEH Productions,1,2018,100678,2018-2022,Grant
ZoieLogic Dance Theatre,1,2018,195300,2018-2022,Grant
ZooNation Ltd,1,2018,249999,2018-2022,Grant
1927,1,2019,217000,2018-2022,Grant
2 Faced Dance Company Limited,1,2019,192000,2018-2022,Grant
20 Stories High,1,2019,211905,2018-2022,Grant
A New Direction London Limited,SSO,2019,1506375,2018-2022,Grant
A Space Arts,1,2019,100000,2018-2022,Grant
AA2A Limited,SSO,2019,40000,2018-2022,Grant
Abandon Normal Devices,1,2019,135000,2018-2022,Grant
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,2019,106552,2018-2022,Grant
Access All Areas,1,2019,125000,2018-2022,Grant
ACE Dance and music,2,2019,397996,2018-2022,Grant
acta community theatre ltd,1,2019,80000,2018-2022,Grant
Action Hero,1,2019,92000,2018-2022,Grant
Action Space London Events,1,2019,88416,2018-2022,Grant
Action Transport Theatre,1,2019,120696,2018-2022,Grant
Activate Performing Arts Ltd,2,2019,279250,2018-2022,Grant
Actors Touring Company,1,2019,207773,2018-2022,Grant
Africa Oye Limited,1,2019,163449,2018-2022,Grant
AIR in G (Arts in Rural Gloucestershire) Ltd,1,2019,42243,2018-2022,Grant
Akademi,1,2019,215000,2018-2022,Grant
Akram Khan Dance Company,2,2019,500610,2018-2022,Grant
Albatross Arts Project,1,2019,40232,2018-2022,Grant
Almeida Theatre Company Limited,2,2019,675499,2018-2022,Grant
Amber Film & Photography Collective,1,2019,120000,2018-2022,Grant
a-n The Artists Information Company,SSO,2019,212754,2018-2022,Grant
And Other Stories Publishing CIC,1,2019,74000,2018-2022,Grant
Applause Rural Touring,1,2019,145000,2018-2022,Grant
Apples and Snakes,2,2019,455000,2018-2022,Grant
Arcola Theatre Production Company,2,2019,301738,2018-2022,Grant
Arena Theatre (University of Wolverhampton),1,2019,110069,2018-2022,Grant
Art Asia Trust Limited,1,2019,95827,2018-2022,Grant
Art Gene Limited,1,2019,110000,2018-2022,Grant
Art Monthly,1,2019,40232,2018-2022,Grant
