Applicant Name,Funding Band,Year,Amount,Period,Type
Libraries Unlimited South West,1,2015,0,2015-2018,Fund
Lighthouse Arts and Training Ltd,1,2015,114992,2015-2018,Fund
Lincoln Arts Trust Limited,1,2015,207193,2015-2018,Fund
Lincolnshire County Council,1,2015,71411,2015-2018,Fund
Literature Works,1,2015,96556,2015-2018,Fund
Littleworld Ltd t/a Horse and Bamboo Theatre,1,2015,123632,2015-2018,Fund
Live & Local Ltd,2,2015,291464,2015-2018,Fund
Live Art Development Agency,1,2015,235846,2015-2018,Fund
Live Theatre Winchester Trust,1,2015,134158,2015-2018,Fund
Liverpool & Merseyside Theatres Trust Ltd,3,2015,1649977,2015-2018,Fund
Liverpool Arab Arts Festival,1,2015,110000,2015-2018,Fund
Liverpool Biennial of Contemporary Art Ltd,2,2015,788355,2015-2018,Fund
Liverpool City Council Culture Liverpool,2,2015,0,2015-2018,Fund
London Arts in Health Forum,1,2015,65662,2015-2018,Fund
London Borough of Barking and Dagenham,1,2015,0,2015-2018,Fund
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,2015,60000,2015-2018,Fund
London International Festival of Theatre,2,2015,452608,2015-2018,Fund
London International Mime Festival,1,2015,201160,2015-2018,Fund
London Philharmonic Orchestra,3,2015,2042222,2015-2018,Fund
London Print Studio Ltd,1,2015,190891,2015-2018,Fund
London Symphony Orchestra,3,2015,2206050,2015-2018,Fund
London Transport Museum,1,2015,0,2015-2018,Fund
Loud In Libraries CIC,1,2015,0,2015-2018,Fund
Ludus Dance,1,2015,95644,2015-2018,Fund
Luton Carnival Arts Development Trust,1,2015,0,2015-2018,Fund
Luton Cultural Services Trust,1,2015,0,2015-2018,Fund
LUX,1,2015,202122,2015-2018,Fund
M6 THEATRE COMPANY LIMITED,1,2015,199320,2015-2018,Fund
Magna Vitae,1,2015,150000,2015-2018,Fund
Mahogany Community Ventures Limited,1,2015,116637,2015-2018,Fund
Manchester Camerata Limited,1,2015,156620,2015-2018,Fund
Manchester City Galleries,SSO,2015,320150,2015-2018,Fund
Manchester City Galleries,3,2015,1597659,2015-2018,Fund
Manchester Craft And Design,1,2015,40000,2015-2018,Fund
Manchester Jazz Festival,1,2015,90521,2015-2018,Fund
Manchester Jewish Museum,1,2015,0,2015-2018,Fund
Manchester Literature Festival,1,2015,76661,2015-2018,Fund
Manchester Young People's Theatre trading as Contact,2,2015,916435,2015-2018,Fund
Mandinga Arts,1,2015,55319,2015-2018,Fund
Matt's Gallery Ltd,1,2015,153385,2015-2018,Fund
MAYK Theatre CIC,1,2015,90000,2015-2018,Fund
Meadow Arts,1,2015,160927,2015-2018,Fund
Mercury Musical Developments,SSO,2015,124467,2015-2018,Fund
Metal Culture Ltd,2,2015,565378,2015-2018,Fund
Metro-Boulot-Dodo Limited,1,2015,0,2015-2018,Fund
MeWe Foundation,SSO,2015,0,2015-2018,Fund
Middle Child,1,2015,0,2015-2018,Fund
Middlesbrough Town Hall,1,2015,0,2015-2018,Fund
Midlands Arts Centre,2,2015,739146,2015-2018,Fund
MIF,3,2015,729134,2015-2018,Fund
Mikron Theatre Company,1,2015,0,2015-2018,Fund
Milap Festival Trust,2,2015,419994,2015-2018,Fund
Milton Keynes Arts Centre LTD,1,2015,0,2015-2018,Fund
Mimbre,1,2015,125773,2015-2018,Fund
Mind the Gap,1,2015,206389,2015-2018,Fund
Miracle Theatre Trust Ltd,1,2015,95000,2015-2018,Fund
MK Gallery,2,2015,383307,2015-2018,Fund
Modern Art Oxford,2,2015,892347,2015-2018,Fund
Modern Masterpieces,1,2015,200153,2015-2018,Fund
Modern Poetry in Translation,1,2015,40000,2015-2018,Fund
More Music,1,2015,105608,2015-2018,Fund
Motionhouse,2,2015,338806,2015-2018,Fund
Multistory,1,2015,140811,2015-2018,Fund
Museum of East Anglian Life,1,2015,0,2015-2018,Fund
Museum of English Rural Life and Reading Museum Partnership,1,2015,0,2015-2018,Fund
Museum of London,SSO,2015,244820,2015-2018,Fund
Museum of London,3,2015,1100000,2015-2018,Fund
Music for Youth,1,2015,171840,2015-2018,Fund
Music in the Round,1,2015,142962,2015-2018,Fund
