Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Create Studios Digital Media CIC,1,,South West,South West,South West,Visual arts,False,0,0,0,0,95000,95000,95000,95000,380000,GIA,,,Swindon,http://www.createstudios.org.uk,Grant in Aid,Band 1,False,False,False,False
Creative & Cultural Skills,SSO,Creative and Cultural Industries Ltd ,National,East,East of England,Not discipline specific,True,270000,270000,270000,810000,478700,478700,478700,478700,1914800,GIA,0.772962962962963,,Thurrock,http://www.ccskills.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Creative Arts East,1,,South East,East,East of England,Combined arts,True,150000,150000,150000,450000,150000,150000,150000,150000,600000,LOT,0,,South Norfolk,http://Www.creativeartseast.co.uk,National Lottery,Band 1,False,False,False,False
Creative Foundation,2,,South East,South East,South East,Visual arts,False,0,0,0,0,400000,400000,400000,400000,1600000,GIA,,,Shepway,http://www.creativefoundation.org.uk,Grant in Aid,Band 2,False,False,False,False
Creative Kernow Ltd,1,,South West,South West,South West,Combined arts,True,212675,212675,212675,638025,212675,212675,212675,212675,850700,LOT,0,,Cornwall,http://www.creativekernow.org.uk,National Lottery,Band 1,False,False,False,False
Creative Sector Services CIC,SSO,,National,London,London,Not discipline specific,False,0,0,0,0,696000,696000,696000,696000,2784000,GIA,,,Westminster,http://www.creativeunited.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Creative Skillset,SSO,Creative Skillset - Sector Skills Council Limited,National,London,London,Not discipline specific,False,0,0,0,0,300000,300000,300000,300000,1200000,GIA,,,Westminster,http://www.creativeskillset.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Creativity Works,1,Creativity Works for Everyone,South West,South West,South West,Combined arts,True,90522,90522,90522,271566,90522,90522,90522,90522,362088,GIA,0,,Bath and North East Somerset,http://www.creativityworks.org.uk,Grant in Aid,Band 1,False,False,False,False
Crescent Arts,1,,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,69788,69788,69788,209366,69789,69789,69789,69789,279156,GIA,4.1786990759776146e-06,,Scarborough,http://www.crescentarts.co.uk,Grant in Aid,Band 1,False,False,False,False
Crying Out Loud,1,,London,London,London,Combined arts,True,211217,211217,211217,633651,211217,211217,211217,211217,844868,LOT,0,,Westminster,http://www.cryingoutloud.org,National Lottery,Band 1,False,False,False,False
Cubitt Artists Limited,1,,London,London,London,Visual arts,True,112095,112095,112095,336285,112095,112095,112095,112095,448380,GIA,0,,Islington,http://www.cubittartists.org.uk,Grant in Aid,Band 1,False,False,False,False
Culture Coventry,2,,Midlands,West Midlands,West Midlands,Museums,False,0,0,0,0,400000,400000,400000,400000,1600000,GIA,,,Coventry,http://www.culturecoventry.com,Grant in Aid,Band 2,False,False,False,False
Culture Squared CIC,2,,North,Yorkshire,Yorkshire and The Humber,Literature,False,0,0,0,0,300000,300000,300000,300000,1200000,GIA,,,Bradford,http://www.bradfordliteraturefestival.co.uk,Grant in Aid,Band 2,False,False,False,False
"Culture, Learning and Libraries (Midlands) - Library Service",1,,Midlands,East Midlands,East Midlands,Libraries,False,0,0,0,0,249999,249999,249999,249999,999996,GIA,,,Nottingham,http://www.inspireculture.org.uk,Grant in Aid,Band 1,False,False,False,False
Culture24,SSO,,National,South East,South East,Museums,False,0,0,0,0,296000,296000,296000,296000,1184000,GIA,,,Brighton and Hove,http://www.WeAreCulture24.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
CultureMix Arts Ltd,1,,South East,South East,South East,Combined arts,False,0,0,0,0,90000,90000,90000,90000,360000,GIA,,,Reading,http://www.culturemixarts.co.uk,Grant in Aid,Band 1,False,False,False,False
Cumbria Theatre Trust,2,,North,North West,North West,Theatre,True,604066,604066,604066,1812200,604067,604067,604067,604067,2416268,GIA,9.600291872912643e-08,,Allerdale,http://www.theatrebythelake.com,Grant in Aid,Band 2,False,False,False,False
curious directive,1,,South East,East,East of England,Theatre,False,0,0,0,0,89818,89818,89818,89818,359272,LOT,,,Norwich,http://www.curiousdirective.com,National Lottery,Band 1,False,False,False,False
Curious Minds,SSO,,North,North West,North West,Not discipline specific,True,1335323,1335323,1335323,4005969,1335323,1335323,1335323,1335323,5341292,LOT,0,Bridge Organisation,Preston,http://www.curiousminds.org.uk,National Lottery,Sector Support Organisation,True,False,False,False
DaDaFest,1,DaDa - Disability and Deaf Arts,North,North West,North West,Combined arts,True,193052,193052,193052,579156,193052,193052,193052,193052,772208,GIA,0,,Liverpool,http://www.dadafest.co.uk,Grant in Aid,Band 1,False,False,False,False
Daily Life Ltd,1,,London,London,London,Combined arts,True,88510,88510,88510,265530,88510,88510,88510,88510,354040,LOT,0,,Newham,http://dailylifeltd.co.uk/,National Lottery,Band 1,False,False,False,False
Dance City,2,Dance North Ltd,North,North East,North East,Dance,True,553856,553856,553856,1661569,553857,553857,553857,553857,2215428,GIA,7.262974071429374e-07,,Newcastle upon Tyne,http://www.dancecity.co.uk,Grant in Aid,Band 2,False,False,False,False
Dance Consortium,2,,Midlands,West Midlands,West Midlands,Dance,True,489367,489367,489367,1468101,489367,489367,489367,489367,1957468,LOT,0,,Birmingham,http://www.danceconsortium.com,National Lottery,Band 2,False,False,False,False
Dance Umbrella,2,,London,London,London,Dance,True,352028,352028,352028,1056084,352028,352028,352028,352028,1408112,GIA,0,,Westminster,http://www.danceumbrella.co.uk,Grant in Aid,Band 2,False,False,False,False
Dance United Yorkshire,1,,North,Yorkshire,Yorkshire and The Humber,Dance,True,90000,90000,90000,270000,90000,90000,90000,90000,360000,GIA,0,,Bradford,http://www.duy.org.uk,Grant in Aid,Band 1,False,False,False,False
Dance4,2,,Midlands,East Midlands,East Midlands,Dance,True,471014,471014,471014,1413043,591014,591014,591014,591014,2364056,GIA,0.2547685144592457,,Nottingham,http://www.dance4.co.uk,Grant in Aid,Band 2,False,False,False,False
DanceEast,2,,South East,East,East of England,Dance,True,810153,810153,810153,2430460,810153,810153,810153,810153,3240612,GIA,-4.882606209959871e-07,,Ipswich,http://www.danceeast.co.uk,Grant in Aid,Band 2,False,False,False,False
Dancefest,1,,Midlands,West Midlands,West Midlands,Dance,True,85492,85492,85492,256478,85493,85493,85493,85493,341972,GIA,2.376656911307278e-06,,Worcester,http://www.dancefest.co.uk,Grant in Aid,Band 1,False,False,False,False
Darbar Arts Culture Heritage Trust,1,,Midlands,East Midlands,East Midlands,Music,True,126715,126715,126715,380145,245000,245000,245000,245000,980000,GIA,0.9334727538176222,,Leicester,http://www.darbar.org,Grant in Aid,Band 1,False,False,False,False
darts (Doncaster Community Arts),1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,130881,130881,130881,392643,130881,130881,130881,130881,523524,GIA,-1.0607036952527451e-06,,Doncaster,http://www.thepoint.org.uk,Grant in Aid,Band 1,False,False,False,False
Dash Arts Ltd,1,,London,London,London,Combined arts,True,90000,90000,90000,270000,90000,90000,90000,90000,360000,GIA,0,,Tower Hamlets,http://www.dasharts.org.uk,Grant in Aid,Band 1,False,False,False,False
De La Warr Pavilion,2,,South East,South East,South East,Visual arts,True,508430,508430,508430,1525290,508430,508430,508430,508430,2033720,GIA,0,,Rother,http://www.dlwp.com,Grant in Aid,Band 2,False,False,False,False
Deafinitely Theatre,1,,London,London,London,Theatre,True,162110,162110,162110,486330,212110,212110,212110,212110,848440,GIA,0.30843254580223306,,Camden,http://www.deafinitelytheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
Déda,2,,Midlands,East Midlands,East Midlands,Dance,True,238373,238373,238373,715121,343374,343374,343374,343374,1373496,GIA,0.44048523692077557,,Derby,http://www.deda.uk.com,Grant in Aid,Band 2,False,False,False,False
Dedalus Limited,1,,London,London,London,Literature,True,40000,40000,40000,120000,40000,40000,40000,40000,160000,GIA,0,,Barking and Dagenham,http://www.dedalusbooks.com,Grant in Aid,Band 1,False,False,False,False
Derby Museums,2,,Midlands,East Midlands,East Midlands,Museums,True,854066,854066,854066,2562198,392870,392870,392870,392870,1571480,GIA,-0.5400004215130915,"Technical Reduction. Derby Museums is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",Derby,http://derbymuseums.org,Grant in Aid,Band 2,False,False,True,False
Derby QUAD Ltd,2,,Midlands,East Midlands,East Midlands,Combined arts,True,457753,457753,457753,1373259,457753,457753,457753,457753,1831012,GIA,0,,Derby,http://www.derbyquad.co.uk,Grant in Aid,Band 2,False,False,False,False
Design Museum,1,,London,London,London,Visual arts,True,170000,170000,170000,510000,170000,170000,170000,170000,680000,GIA,0,,Kensington and Chelsea,http://designmuseum.org,Grant in Aid,Band 1,False,False,False,False
Disability Arts in Shropshire,1,,Midlands,West Midlands,West Midlands,Visual arts,True,70405,70405,70405,211217,120000,120000,120000,120000,480000,GIA,0.7044042439398538,,Shropshire,http://www.dasharts.org,Grant in Aid,Band 1,False,False,False,False
Disability Arts Online,1,DAO (DisabilityArtsOnline) Ltd ,South East,South East,South East,Not discipline specific,False,0,0,0,0,100000,100000,100000,100000,400000,GIA,,,Brighton and Hove,http://www.disabilityarts.online,Grant in Aid,Band 1,False,False,False,False
Diverse City,2,,South West,South West,South West,Combined arts,False,0,0,0,0,480000,480000,480000,480000,1920000,LOT,,,Purbeck,http://www.diversecity.org.uk,National Lottery,Band 2,False,False,False,False
Doncaster Heritage Services,1,Doncaster MBC,North,Yorkshire,Yorkshire and The Humber,Museums,False,0,0,0,0,100000,100000,100000,100000,400000,LOT,,,Doncaster,http://www.doncaster.gov.uk/museums,National Lottery,Band 1,False,False,False,False
Donmar Warehouse Projects Ltd,2,,London,London,London,Theatre,True,504619,504619,504619,1513857,504619,504619,504619,504619,2018476,GIA,0,,Westminster,http://www.donmarwarehouse.com/,Grant in Aid,Band 2,False,False,False,False
Doorstep Arts,1,,South West,South West,South West,Theatre,False,0,0,0,0,95561,95561,95561,95561,382244,LOT,,,Torbay,http://www.doorsteparts.co.uk,National Lottery,Band 1,False,False,False,False
Drake Music,1,,London,London,London,Music,True,194045,194045,194045,582135,194045,194045,194045,194045,776180,GIA,0,,Tower Hamlets,http://www.drakemusic.org,Grant in Aid,Band 1,False,False,False,False
Drawing Room,1,"Drawing Room, Tannery Arts Ltd.",London,London,London,Visual arts,True,50288,50288,50288,150866,50289,50289,50289,50289,201156,GIA,1.5468482557363933e-06,,Southwark,http://www.drawingroom.org.uk,Grant in Aid,Band 1,False,False,False,False
dreamthinkspeak,1,,South East,South East,South East,Theatre,True,150927,150927,150927,452781,150927,150927,150927,150927,603708,GIA,-9.109494971492914e-07,,Brighton and Hove,http://www.dreamthinkspeak.com/,Grant in Aid,Band 1,False,False,False,False
Duckie,1,,London,London,London,Theatre,True,142492,142492,142492,427476,142492,142492,142492,142492,569968,GIA,0,,Lambeth,http://www.duckie.co.uk,Grant in Aid,Band 1,False,False,False,False
Durham County Council,2,,North,North East,North East,Combined arts,True,415000,415000,415000,1245000,415000,415000,415000,415000,1660000,GIA,0,,County Durham,http://www.durham.gov.uk,Grant in Aid,Band 2,False,False,False,False
East London Dance,1,,London,London,London,Dance,True,241391,241391,241391,724174,241391,241391,241391,241391,965564,GIA,-1.7659922927983064e-06,,Newham,http://www.eastlondondance.org,Grant in Aid,Band 1,False,False,False,False
East Midlands Jazz CIC,1,,Midlands,East Midlands,East Midlands,Music,True,77446,77446,77446,232338,77446,77446,77446,77446,309784,GIA,-2.8959827863993954e-06,,Derbyshire Dales,http://emjazz.co.uk,Grant in Aid,Band 1,False,False,False,False
East Street Arts,1,,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,184960,184960,184960,554880,154960,154960,154960,154960,619840,GIA,-0.16219727330683917,Technical Reduction. Funding to support the regional YVAN network has been allocated to another organisation. The technical reduction relates to this.,Leeds,http://eaststreetarts.org.uk,Grant in Aid,Band 1,False,False,True,False
East Street Arts,SSO,,National,Yorkshire,Yorkshire and The Humber,Visual arts,False,0,0,0,0,180000,180000,180000,180000,720000,GIA,,,Leeds,http://eaststreetarts.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Eastern Angles Theatre Company Ltd,1,,South East,East,East of England,Theatre,True,220402,220402,220402,661206,220402,220402,220402,220402,881608,LOT,0,,Ipswich,http://www.easternangles.co.uk,National Lottery,Band 1,False,False,False,False
Eastside Educational Trust,1,,London,London,London,Combined arts,True,50788,50788,50788,152364,50788,50788,50788,50788,203152,GIA,-3.5362322772738633e-06,,Hackney,http://www.eastside.org.uk,Grant in Aid,Band 1,False,False,False,False
Eclipse Theatre Company Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,151017,151017,151017,453051,249501,249501,249501,249501,998004,LOT,0.6521361528342063,,Sheffield,http://www.eclipsetheatre.org.uk,National Lottery,Band 1,False,False,False,False
Eden Arts,1,,North,North West,North West,Combined arts,True,100000,100000,100000,300000,100000,100000,100000,100000,400000,GIA,0,,Eden,http://www.edenarts.co.uk,Grant in Aid,Band 1,False,False,False,False
emccan CIC,1,,Midlands,East Midlands,East Midlands,Combined arts,True,150725,150725,150725,452175,150725,150725,150725,150725,602900,GIA,0,,Derby,http://www.emccan.org,Grant in Aid,Band 1,False,False,False,False
Emergency Exit Arts,1,,London,London,London,Theatre,True,117924,117924,117924,353772,117924,117924,117924,117924,471696,GIA,0,,Greenwich,http://www.eea.org.uk,Grant in Aid,Band 1,False,False,False,False
English Folk Dance and Song Society,2,,London,London,London,Music,True,432046,432046,432046,1296138,432046,432046,432046,432046,1728184,GIA,0,,Camden,http://www.efdss.org,Grant in Aid,Band 2,False,False,False,False
English Folk Expo,SSO,,National,South East,South East,Music,False,0,0,0,0,95000,95000,95000,95000,380000,GIA,,,Swale,http://www.englishfolkexpo.com,Grant in Aid,Sector Support Organisation,False,False,False,False
English National Ballet,3,,London,London,London,Dance,True,6214000,6214000,6214000,18642000,6214000,6214000,6214000,6214000,24856000,LOT,0,,Westminster,http://www.ballet.org.uk,National Lottery,Band 3,False,False,False,False
English National Opera,3,,London,London,London,Music,True,12380000,12380000,12380000,37140000,12380000,12380000,12380000,12380000,49520000,GIA,0,,Westminster,https://www.eno.org/,Grant in Aid,Band 3,False,False,False,False
English PEN,1,,London,London,London,Literature,True,229984,229984,229984,689952,229984,229984,229984,229984,919936,GIA,0,,Islington,http://www.englishpen.org,Grant in Aid,Band 1,False,False,False,False
English Stage Company Limited,3,,London,London,London,Theatre,True,2311234,2311234,2311234,6933702,2311234,2311234,2311234,2311234,9244936,GIA,0,,Kensington and Chelsea,http://www.royalcourttheatre.com,Grant in Aid,Band 3,False,False,False,False
English Touring Opera Ltd,3,,London,London,London,Music,True,1743322,1743322,1743322,5229966,1743322,1743322,1743322,1743322,6973288,LOT,0,,Islington,http://www.englishtouringopera.org.uk,National Lottery,Band 3,False,False,False,False
English Touring Theatre Ltd,2,,London,London,London,Theatre,True,679794,679794,679794,2039382,679794,679794,679794,679794,2719176,LOT,0,,Southwark,http://www.ett.org.uk,National Lottery,Band 2,False,False,False,False
Entelechy Arts Ltd,1,,London,London,London,Combined arts,True,80348,80348,80348,241044,80348,80348,80348,80348,321392,GIA,0,,Lewisham,http://www.entelechyarts.org,Grant in Aid,Band 1,False,False,False,False
Essex Cultural Diversity Project,1,,South East,East,East of England,Combined arts,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,Chelmsford,http://www.essexcdp.com,Grant in Aid,Band 1,False,False,False,False
Ex Cathedra Ltd,1,,Midlands,West Midlands,West Midlands,Music,True,57681,57681,57681,173043,57681,57681,57681,57681,230724,GIA,0,,Birmingham,http://www.excathedra.co.uk,Grant in Aid,Band 1,False,False,False,False
Exeter City Council,2,,South West,South West,South West,Museums,True,1031958,1031958,1031958,3095874,607191,607191,607191,607191,2428764,GIA,-0.41161268191147315,"Uplift and Technical Reduction. Exeter City Council has received an uplift. It is the lead partner of a 2015-2018 consortium and a partner is no longer part of the consortium for 2018-2022, the technical reduction relates to the lost allocation of the previous partner, plus the awarded uplift.",Exeter,http://www.rammuseum.org.uk,Grant in Aid,Band 2,False,True,True,False
Exeter Northcott Theatre,1,,South West,South West,South West,Theatre,True,125000,125000,125000,375000,125000,125000,125000,125000,500000,GIA,0,,Exeter,https://exeternorthcott.co.uk/,Grant in Aid,Band 1,False,False,False,False
Exeter Phoenix,1,,South West,South West,South West,Combined arts,True,125725,125725,125725,377175,125725,125725,125725,125725,502900,GIA,0,,Exeter,http://www.exeterphoenix.org.uk,Grant in Aid,Band 1,False,False,False,False
Extant,1,,London,London,London,Theatre,True,119000,119000,119000,357000,156000,156000,156000,156000,624000,GIA,0.31092436974789917,,Lambeth,http://www.extant.org.uk,Grant in Aid,Band 1,False,False,False,False
Eye Music Trust,1,,London,London,London,Music,True,102205,102205,102205,306615,102205,102205,102205,102205,408820,GIA,0,,Croydon,http://www.eyemusic.org.uk/,Grant in Aid,Band 1,False,False,False,False
Fabrica,1,,South East,South East,South East,Visual arts,True,177575,177575,177575,532725,177575,177575,177575,177575,710300,GIA,0,,Brighton and Hove,http://www.fabrica.org.uk,Grant in Aid,Band 1,False,False,False,False
FACT,3,FOUNDATION FOR ART & CREATIVE TECHNOLOGY,North,North West,North West,Visual arts,True,1005909,1005909,1005909,3017727,1005909,1005909,1005909,1005909,4023636,GIA,0,,Liverpool,http://www.fact.co.uk/,Grant in Aid,Band 3,False,False,False,False
Farnham Maltings Association,2,,South East,South East,South East,Combined arts,True,785780,785780,785780,2357340,845780,845780,845780,845780,3383120,LOT,0.07635725012089897,,Waverley,http://www.farnhammaltings.com,National Lottery,Band 2,False,False,False,False
Fevered Sleep,1,,London,London,London,Theatre,True,201160,201160,201160,603480,201160,201160,201160,201160,804640,GIA,0,,Hackney,http://www.feveredsleep.co.uk/,Grant in Aid,Band 1,False,False,False,False
FIERCE! Festival,1,Fierce! (Festival) Limited,Midlands,West Midlands,West Midlands,Combined arts,True,130611,130611,130611,391835,130612,130612,130612,130612,522448,GIA,1.028639468093776e-06,,Birmingham,http://wearefierce.org,Grant in Aid,Band 1,False,False,False,False
Film and Video Umbrella,2,,London,London,London,Visual arts,True,379321,379321,379321,1137963,379321,379321,379321,379321,1517284,LOT,0,,Southwark,http://fvu.co.uk,National Lottery,Band 2,False,False,False,False
Film London,2,,London,London,London,Visual arts,True,321904,321904,321904,965712,321904,321904,321904,321904,1287616,GIA,-3.3148086208429254e-07,,Islington,http://flamin.filmlondon.org.uk/,Grant in Aid,Band 2,False,False,False,False
Firstsite Ltd,2,,South East,East,East of England,Visual arts,True,814527,814527,814527,2443581,814527,814527,814527,814527,3258108,GIA,0,,Colchester,http://www.firstsite.uk.net,Grant in Aid,Band 2,False,False,False,False
Flatpack Projects,1,,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,110000,110000,110000,110000,440000,GIA,,,Birmingham,http://www.flatpackfestival.org.uk,Grant in Aid,Band 1,False,False,False,False
Focal Point Gallery,1,,South East,East,East of England,Visual arts,True,186384,186384,186384,559152,186384,186384,186384,186384,745536,GIA,0,,Southend-on-Sea,http://www.fpg.org.uk,Grant in Aid,Band 1,False,False,False,False
Forced Entertainment Ltd,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,255393,255393,255393,766180,249500,249500,249500,249500,998000,GIA,-0.023076658362541667,,Sheffield,http://www.forcedentertainment.com,Grant in Aid,Band 1,False,False,False,False
Forma Arts and Media Limited,2,,London,London,London,Visual arts,True,259677,259677,259677,779031,259677,259677,259677,259677,1038708,GIA,0,,Tower Hamlets,http://www.forma.org.uk,Grant in Aid,Band 2,False,False,False,False
Forward Arts Foundation,1,,London,London,London,Literature,True,47914,47914,47914,143742,47914,47914,47914,47914,191656,GIA,0,,Westminster,http://www.forwardartsfoundation.org,Grant in Aid,Band 1,False,False,False,False
Foundation for Community Dance t/a People Dancing,1,,Midlands,East Midlands,East Midlands,Dance,True,190095,190095,190095,570286,190095,190095,190095,190095,760380,GIA,-1.919566058706156e-06,,Leicester,http://www.communitydance.org.uk,Grant in Aid,Band 1,False,False,False,False
Frantic Theatre Company Ltd,1,,London,London,London,Theatre,True,221189,221189,221189,663567,221189,221189,221189,221189,884756,LOT,0,,Camden,http://www.franticassembly.co.uk,National Lottery,Band 1,False,False,False,False
Free Word,1,,London,London,London,Literature,True,239567,239567,239567,718701,239567,239567,239567,239567,958268,GIA,0,,Islington,http://www.freewordcentre.com,Grant in Aid,Band 1,False,False,False,False
Freedom Festival Arts Trust,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,166666,166666,166666,499998,249999,249999,249999,249999,999996,GIA,0.5,,"Kingston upon Hull, City of",http://www.freedomfestival.co.uk,Grant in Aid,Band 1,False,False,False,False
Freedom Studios,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,140949,140949,140949,422847,140949,140949,140949,140949,563796,GIA,0,,Bradford,http://www.freedomstudios.co.uk,Grant in Aid,Band 1,False,False,False,False
Friction Arts,1,,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,67500,67500,67500,67500,270000,GIA,,,Birmingham,http://www.frictionarts.com,Grant in Aid,Band 1,False,False,False,False
Fuel Productions,1,,London,London,London,Theatre,True,201160,201160,201160,603480,201160,201160,201160,201160,804640,GIA,0,,Westminster,http://www.fueltheatre.com,Grant in Aid,Band 1,False,False,False,False
Furtherfield.org,1,,London,London,London,Visual arts,True,78388,78388,78388,235164,78388,78388,78388,78388,313552,GIA,0,,Haringey,http://www.furtherfield.org,Grant in Aid,Band 1,False,False,False,False
Future Everything CIC,1,,North,North West,North West,Combined arts,True,81452,81452,81452,244358,81453,81453,81453,81453,325812,GIA,3.1814030717386864e-06,,Manchester,http://futureeverything.org,Grant in Aid,Band 1,False,False,False,False
Gecko Theatre,1,,South East,East,East of England,Theatre,True,220401,220401,220401,661204,220402,220402,220402,220402,881608,LOT,2.1138328363451647e-06,,Ipswich,http://geckotheatre.com/,National Lottery,Band 1,False,False,False,False
Gem Arts,1,GemArts,North,North East,North East,Combined arts,True,120000,120000,120000,360000,120000,120000,120000,120000,480000,GIA,0,,Gateshead,http://www.gemarts.org,Grant in Aid,Band 1,False,False,False,False
Generator North East,1,,North,North East,North East,Music,True,156050,156050,156050,468152,156051,156051,156051,156051,624204,GIA,3.8312853010756144e-08,,Newcastle upon Tyne,http://www.generator.org.uk,Grant in Aid,Band 1,False,False,False,False
Global Grooves,1,,North,North West,North West,Combined arts,False,0,0,0,0,125000,125000,125000,125000,500000,GIA,,,Tameside,http://www.globalgrooves.org,Grant in Aid,Band 1,False,False,False,False
Gloucestershire Everyman Theatre Ltd,2,,South West,South West,South West,Combined arts,True,377546,377546,377546,1132640,377547,377547,377547,377547,1510188,GIA,3.4523007905457184e-07,,Cheltenham,http://everymantheatre.org.uk,Grant in Aid,Band 2,False,False,False,False
Glyndebourne Productions Ltd,3,,South East,South East,South East,Music,True,1629054,1629054,1629054,4887164,1629055,1629055,1629055,1629055,6516220,GIA,1.1213864514756798e-07,,Lewes,http://www.glyndebourne.com,Grant in Aid,Band 3,False,False,False,False
Goole Town Council,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,68995,68995,68995,206985,68995,68995,68995,68995,275980,GIA,0,,East Riding of Yorkshire,http://www.junctiongoole.co.uk,Grant in Aid,Band 1,False,False,False,False
Graeae Theatre Company Ltd,2,,London,London,London,Theatre,True,564399,564399,564399,1693197,564399,564399,564399,564399,2257596,GIA,0,,Hackney,http://www.graeae.org,Grant in Aid,Band 2,False,False,False,False
Grand Union,1,Grand Union Studios Ltd,Midlands,West Midlands,West Midlands,Visual arts,False,0,0,0,0,98000,98000,98000,98000,392000,GIA,,,Birmingham,http://www.grand-union.org.uk,Grant in Aid,Band 1,False,False,False,False
Great Georges Community Cultural Project Ltd,1,THE BLACK-E,North,North West,North West,Combined arts,True,110000,110000,110000,330000,110000,110000,110000,110000,440000,GIA,0,,Liverpool,http://www.theblack-e.co.uk,Grant in Aid,Band 1,False,False,False,False
Greater Manchester Arts Centre Ltd,3,,North,North West,North West,Combined arts,True,1297513,1297513,1297513,3892539,1297513,1297513,1297513,1297513,5190052,GIA,0,,Manchester,http://HOMEMCR.org,Grant in Aid,Band 3,False,False,False,False
Greenwich+Docklands Festivals,1,,London,London,London,Combined arts,True,251449,251449,251449,754347,249500,249500,249500,249500,998000,LOT,-0.007751074770629432,,Greenwich,http://www.festival.org,National Lottery,Band 1,False,False,False,False
Grimm & Co,1,,North,Yorkshire,Yorkshire and The Humber,Literature,False,0,0,0,0,115000,115000,115000,115000,460000,GIA,,,Rotherham,http://www.grimmandco.co.uk,Grant in Aid,Band 1,False,False,False,False
Grizedale Arts,1,,North,North West,North West,Visual arts,True,197693,197693,197693,593079,197696,197696,197696,197696,790784,GIA,1.517504413408669e-05,,South Lakeland,http://www.grizedale.org/,Grant in Aid,Band 1,False,False,False,False
Grundy Art Gallery,1,Blackpool Council,North,North West,North West,Visual arts,True,43122,43122,43122,129366,43122,43122,43122,43122,172488,GIA,-9.10949497101083e-07,,Blackpool,http://www.grundyartgallery.com,Grant in Aid,Band 1,False,False,False,False
Gulbenkian Theatre,2,University of Kent,South East,South East,South East,Combined arts,True,220000,220000,220000,660000,273769,273769,273769,273769,1095076,GIA,0.24440454545454546,,Canterbury,http://www.thegulbenkian.co.uk,Grant in Aid,Band 2,False,False,False,False
hÅb,1,Habarts Limited trading as hÅb,North,North West,North West,Combined arts,True,70405,70405,70405,211217,70406,70406,70406,70406,281624,GIA,2.3766569112221718e-06,,Manchester,http://habarts.org,Grant in Aid,Band 1,False,False,False,False
Hackney Empire Ltd,2,,London,London,London,Theatre,True,368514,368514,368514,1105542,368514,368514,368514,368514,1474056,GIA,0,,Hackney,http://www.hackneyempire.co.uk,Grant in Aid,Band 2,False,False,False,False
Half Moon Young People's Theatre,1,,London,London,London,Theatre,True,217451,217451,217451,652353,217451,217451,217451,217451,869804,LOT,0,,Tower Hamlets,http://www.halfmoon.org.uk,National Lottery,Band 1,False,False,False,False
Halle Concerts Society,3,,North,North West,North West,Music,True,2083674,2083674,2083674,6251022,2083674,2083674,2083674,2083674,8334696,GIA,-8.970786035744872e-08,,Manchester,http://www.halle.co.uk,Grant in Aid,Band 3,False,False,False,False
Hampstead Theatre Ltd,2,,London,London,London,Theatre,True,874607,874607,874607,2623821,752607,752607,752607,752607,3010428,GIA,-0.1394912229149778,,Camden,http://hampsteadtheatre.com,Grant in Aid,Band 2,False,False,False,False
Harrogate Theatre,1,Harrogate (White Rose) Theatre Trust Ltd.,North,Yorkshire,Yorkshire and The Humber,Theatre,True,140909,140909,140909,422728,140909,140909,140909,140909,563636,GIA,-2.8999342595307744e-06,,Harrogate,http://www.harrogatetheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
Havering Theatre Trust,2,,London,London,London,Theatre,True,277032,277032,277032,831096,277032,277032,277032,277032,1108128,GIA,0,,Havering,http://www.queens-theatre.co.uk,Grant in Aid,Band 2,False,False,False,False
Headlong Theatre Ltd,2,,London,London,London,Theatre,True,679794,679794,679794,2039382,679794,679794,679794,679794,2719176,LOT,0,,Southwark,https://headlong.co.uk/,National Lottery,Band 2,False,False,False,False
