Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Artsadmin,2,,London,London,London,Combined arts,True,533072,533072,533072,1599216,533072,533072,533072,533072,2132288,GIA,0,,Tower Hamlets,http://www.artsadmin.co.uk,Grant in Aid,Band 2,False,False,False,False
Artsreach,1,,South West,South West,South West,Combined arts,True,55319,55319,55319,165957,55319,55319,55319,55319,221276,LOT,0,,West Dorset,http://www.artsreach.co.uk,National Lottery,Band 1,False,False,False,False
Artswork,SSO,,South East,South East,South East,Not discipline specific,True,1519397,1519397,1519397,4558191,1519397,1519397,1519397,1519397,6077588,LOT,-1.0238631731987424e-07,Bridge Organisation,Southampton,http://www.artswork.org.uk,National Lottery,Sector Support Organisation,True,False,False,False
Artworks Creative Communities,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,57496,57496,57496,172488,57496,57496,57496,57496,229984,GIA,0,,Bradford,http://www.artworkscreative.org.uk,Grant in Aid,Band 1,False,False,False,False
Arvon Foundation,2,Arvon,London,London,London,Literature,True,388267,388267,388267,1164801,388267,388267,388267,388267,1553068,GIA,0,,Islington,http://arvon.org,Grant in Aid,Band 2,False,False,False,False
Asian Arts Agency,2,,South West,South West,South West,Combined arts,True,280870,280870,280870,842610,280870,280870,280870,280870,1123480,LOT,0,,"Bristol, City of",http://www.asianartsagency.co.uk,National Lottery,Band 2,False,False,False,False
Aspex Visual Arts Trust,1,,South West,South West,South East,Visual arts,True,112117,112117,112117,336351,112117,112117,112117,112117,448468,GIA,0,,Portsmouth,http://www.aspex.org.uk,Grant in Aid,Band 1,False,False,False,False
Association for Cultural Enterprises,SSO,,National,North East,North East,Museums,False,0,0,0,0,198000,198000,198000,198000,792000,GIA,,,Northumberland,http://acenterprises.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Association of Independent Museums,SSO,,National,West Midlands,West Midlands,Museums,False,0,0,0,0,300000,300000,300000,300000,1200000,GIA,,,Shropshire,http://www.aim-museums.co.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Attitude is Everything,SSO,,National,London,London,Music,True,208606,208606,208606,625818,249700,249700,249700,249700,998800,GIA,0.19699337507070747,,Camden,http://www.attitudeiseverything.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Aurora Orchestra,1,,London,London,London,Music,True,91829,91829,91829,275487,91829,91829,91829,91829,367316,GIA,0,,Islington,http://www.auroraorchestra.com,Grant in Aid,Band 1,False,False,False,False
Auto Italia,1,Auto Italia South East LTD,London,London,London,Visual arts,True,50290,50290,50290,150870,50290,50290,50290,50290,201160,GIA,0,,Tower Hamlets,http://www.autoitaliasoutheast.org,Grant in Aid,Band 1,False,False,False,False
Autograph ABP,2,,London,London,London,Visual arts,True,700000,700000,700000,2100000,700000,700000,700000,700000,2800000,GIA,0,,Hackney,http://www.autograph-abp.co.uk,Grant in Aid,Band 2,False,False,False,False
Avant Garde Dance Company,1,,London,London,London,Dance,False,0,0,0,0,221250,221250,221250,221250,885000,LOT,,,Hackney,http://www.avantgardedance.com,National Lottery,Band 1,False,False,False,False
B3 Media Limited,1,,London,London,London,Combined arts,True,180000,180000,180000,540000,180000,180000,180000,180000,720000,GIA,0,,Hackney,http://www.b3media.net,Grant in Aid,Band 1,False,False,False,False
Baby People,1,,Midlands,East Midlands,East Midlands,Music,True,48418,48418,48418,145254,48418,48418,48418,48418,193672,GIA,0,,Derby,http://www.babypeople.co.uk,Grant in Aid,Band 1,False,False,False,False
Backlit,1,,Midlands,East Midlands,East Midlands,Visual arts,False,0,0,0,0,75000,75000,75000,75000,300000,GIA,,,Nottingham,http://www.backlit.org.uk,Grant in Aid,Band 1,False,False,False,False
Balbir Singh Dance Company,1,,North,Yorkshire,Yorkshire and The Humber,Dance,True,150460,150460,150460,451381,150460,150460,150460,150460,601840,LOT,-3.065225316561185e-06,,Leeds,http://www.balbirsinghdance.co.uk/,National Lottery,Band 1,False,False,False,False
Ballet Black,1,,London,London,London,Dance,False,0,0,0,0,220000,220000,220000,220000,880000,LOT,,,Westminster,http://www.balletblack.co.uk,National Lottery,Band 1,False,False,False,False
Ballet Lorent Limited,2,,North,North East,North East,Dance,True,239566,239566,239566,718700,399968,399968,399968,399968,1599872,LOT,0.6695462737554676,,Newcastle upon Tyne,http://www.balletlorent.com,National Lottery,Band 2,False,False,False,False
BalletBoyz Ltd,2,,London,London,London,Dance,True,300000,300000,300000,900000,300000,300000,300000,300000,1200000,GIA,0,,Kingston upon Thames,http://www.balletboyz.com,Grant in Aid,Band 2,False,False,False,False
Baltic Flour Mills Visual Arts Trust,3,,North,North East,North East,Visual arts,True,3158000,3158000,3158000,9474000,3158000,3158000,3158000,3158000,12632000,GIA,0,,Gateshead,http://www.balticmill.com,Grant in Aid,Band 3,False,False,False,False
Bamboozle Theatre Company,1,,Midlands,East Midlands,East Midlands,Theatre,False,0,0,0,0,200000,200000,200000,200000,800000,LOT,,,Leicester,http://www.bamboozletheatre.co.uk,National Lottery,Band 1,False,False,False,False
Barbican Centre,2,,London,London,London,Combined arts,True,480000,480000,480000,1440000,480000,480000,480000,480000,1920000,GIA,0,,City of London,http://www.barbican.org.uk,Grant in Aid,Band 2,False,False,False,False
